KC9PSUN|I thought really done all haven't done all that much cos I was alone most of the time.
PS0CG|Well you'll be over there.
PS0CK|give you a hand.
PS0CG|No no I'm not going to do any thing.
PS0CK|Right can I have a look at your paper then.
PS0CG|Yes darling.
PS0CK|Yeah.
PS0CG|It's all upstairs on the.
PS0CK|Well there's always there's always the next bit of garden it isn't there when we when we put the rubbish out then Paddy says is that everything and I say well you know it's not you know that it's going to blow up again as soon as you've come inside but don't worry.
PS0CG|I when you use.
PS0CG|Mm that's right yes mm.
PS0CK|Well yes that's that's.
PS0CK|Oh perhaps just as well.
PS0CG|I do it with Having a birthday in January.
PS0CK|Yes yeah.
PS0CG|I said well how about a I said would you like candles on.
PS0CK|Oh that would be nice er and.
PS0CG|Have that.
PS0CK|Oh does it I must say that'll be nice as long as as long as you'll let us take.
PS0CG|Probably expensive.
PS0CK|Well not to worry if you go go to the theatre I don't want eh.
PS0CG|I like.
PS0CK|over the road.
PS0CG|Mm.
PS0CK|as we they keep it no nasty erm the costumes all fresh and clean.
PS0CG|Yes yes.
PS0CK|They used to have those girls that the girls she became erm well she was an she she was in erm Rushford you.
PS0CG|Was she.
PS0CK|She's er mm the wife you know er what was her name Veronica.
PS0CG|Veronica.
PS0CK|she was her cos we always remembered her.
PS0CK|Yes I liked her.
PS0CG|She was in the window.
PS0CK|She used to be in the window and her sister and I can't remember her sister's name there was two of them they they used to do.
PS0CG|Yeah I remember someone I thought it was just another T V.
PS0CK|Well she had been on one or two things not a lot on the television but er we.
PS0CG|That girls with a beautiful voice.
PS0CK|Mm.
PS0CK|Oh probably can yes Oh that's the time going you know the and she might expect to stay for us but best thing is to get the figures and we'll erm we'll do the give her the money but erm I'm sure that he will love that so would I.
PS0CK|I don't mind whatever.
PS0CG|box.
PS0CK|well I mean I did do what you want Penny and I would come along but I think you'd see better in in a box.
PS0CK|what's going on here Maybe maybe you'll you'll.
PS0CG|Last time we went the the came on and declared that it was your birthday and wished you a very happy birthday and you were standing up there bouncing up and down.
PS0CK|on stage sang happy birthday to you.
PS0CG|And that.
PS0CK|Going like that ah she wouldn't do that now would she.
PS0CK|You're lucky.
PS0CG|I think there was somebody called who came down the isle and gave a couple of balloons.
PS0CK|Oh how nice yeah yes.
PS0CG|I only mentioned it when I was walking the dogs.
PS0CK|Oh yeah yeah.
PS0CG|did she.
PS0CK|Yeah My little daughter was twenty seven Sunday.
PS0CG|Yeah.
PS0CK|Yeah.
PS0CG|who does all the in.
PS0CK|Oh does she I I mean I can have a word with little kids always.
PS0CG|Yeah but it's tea leaves.
PS0CK|Yeah tea leaves tea bags well they're suppose there've got.
PS0CK|Oh they must do I suppose they.
PS0CK|Really well I I think I might pop down on the roses next year.
PS0CG|I would.
PS0CK|Warm when it's warm enough to go out I'd liked to find Mary something nice and pretty for Christmas I don't know what to get.
PS0CG|Can't you get.
PS0CK|Well she did last year she told us but this year well Paddy Paddy bought her a book of quotations which she she quite liked it but it's not a very attractive book and we bought her a video of The Little Mermaid which we know she wants.
PS0CG|Oh yes that's that's a good idea.
PS0CK|Yes yes erm but I would of liked to have bought her something pretty I can't think of what to get her.
