KCVPSUN|Stefan you're exactly Isobel's age are you.
PS126|I didn't hear I mean I could hear It was ah no I mean it was you know it's not that it was Do you mind if I watch the news at six.
PS0H7|Yes.
PS126|But it.
PS0H7|You'll have to watch it again with Patrick.
PS126|I don't well I I I will probably study at nine That's why I watch it.
PS0H7|because he won't give up his news.
PS126|So er er what was I saying No there was a kinda of a veil that kept the voices coming up.
PS0H7|Really How far up.
PS126|I was totally up all the way up.
PS0H7|And it was bad.
PS126|And it was well I I felt I need I'll see tomorrow but.
PS0H7|Hmm hmm.
PS126|But that's what I.
PS126|It was the night of Symphony.
PS0H7|Yes.
PS126|The night er er Symphony of Beethoven.
PS0H7|Yes but you can't have not have heard it.
PS126|Well not as much as I'm used to.
PS0H7|No You know in er I think we have to turn off I think Well she's on the second balcony under in the centre under the top you know where the she's said it's great in the back there She says it's a great difference in the movie Did you know that.
PS126|Yes.
PS0H7|She'd like to change with a girl Cos we may not be able to afford those upper you know they are very expensive Poor old Ralph has to pay those Rather that he stayed more expensive.
