PS02K|Not being a driver darling I don't know really much about such things never had to worry I've always found somewhere chain my bike to a lamp post or er ha.
PS02G|Oh we're set up for Christmas now Ooh lovely.
PS02H|You can come along.
PS02G|Two prizes.
PS6TB|Any more.
PS02G|That's smashing.
PS03A|Be nice Sh shake them up.
PS02G|That's lovely.
PS6TB|Worth coming back for weren't it.
PS02G|Whoops.
PS03A|Say you're on a a green right up that green eight hundreds.
PS02G|Eight hundred and twenty one to eight hundred and twenty five.
PS03A|more than thirty five.
PS037|Make it a green John.
PS02G|That's it.
PS03A|Eight forty eight.
PS02G|No no twenties.
PS03A|No.
PS02G|No.
PS02H|Oh well.
PS03A|You've only got two right.
PS02H|You got two.
PS02G|That's if if you've got two.
PS6TB|I know.
PS02G|that's lovely one off each strip one for you and one for me have to go and claim them at tea time.
PS02H|Wonderful wonderful.
PS03A|You won't have three not bad three whisky.
PS02H|Yep.
PS03A|and a snowball then.
PS02G|Lovely.
PS02H|Right.
PS02G|Smashing.
PS03D|What you won Ann.
PS02G|Bottle of whisky and a snowball.
PS03D|Oh lovely Ann.
PS02G|He's quite happy to win the bottle of.
PS03A|thing.
PS02G|yeah he's quite happy with the whisky yeah.
PS02G|Favourite tipple it is.
PS6TB|won.
PS02G|Quite happy.
PS02H|Yeah.
PS02G|Don't know what the time is I didn't even look when I clocked in Anybody.
PS02G|know the time.
PS037|No it's about quarter to now.
PS02G|Oh I'm not in hurry.
PS037|You you've got two.
PS02G|Yeah oh lovely Smashing.
PS02H|Yeah.
PS02G|Oh.
PS02G|Getting quite good on these raffles dear.
PS02H|Yeah.
PS02G|Ha ha ha.
PS02H|You're going good.
PS02G|You think when I'm no obviously not.
PS03C|Hello.
PS02G|Hello.
PS03C|Good holiday.
PS02G|Lovely thank you didn't wan na come back.
PS03C|No I don't blame you.
PS02G|How's Shirley.
PS03C|Well she said her arm's still hurting her.
PS02H|Hello Tina.
PS03C|Hello.
PS02H|How's Tina.
PS03C|Nice holiday.
PS02G|Yeah smashing thank you and you alright.
PS03C|Yeah.
PS02G|Still got a cold.
PS03C|No I can't clean the floors Saturday up and I think she's scrubbing the floor with the brush done all the muscle.
PS02G|Might show her that.
PS03C|I only looked at.
PS02H|Never used to so much hard work you see Tina.
PS03C|Well we I weren't feeling very well.
PS02G|Yeah.
PS02H|Tina.
PS03C|I think it was a hangover.
PS02H|Oh yeah.
PS03C|But it it had last all day but.
PS02G|But how how poorly is is Wiggy.
PS03C|Poorly.
PS02G|Is he will he give us a hand Is he alright to.
PS03C|Oh yeah he's alright.
PS02G|Just we got we're on the move.
PS03C|Your moving.
PS02G|and we need s we need Stuart gets a van he'll need someone to help him lift the washing machine and so on like.
PS03C|Yeah he said he's alright.
PS02G|and help him do that.
PS03C|he's he's alright but he just.
PS02G|No I mean we wouldn't ask him if he's not well.
PS03C|No he just don't wan na come to work and that.
PS02H|Can you ask him how much that van he had you know he hired that van with.
PS02G|He hired a van how much it was.
PS03C|Yeah yeah.
PS02H|Yeah well can you ask him how much it was.
PS03C|Yeah.
PS02H|Just like to know just.
PS03C|Yeah.
PS02H|a rough idea so we can we might I du n no whether we'll hire one we might ask.
PS02G|See if we can borrow one from somewhere.
PS03C|Cos that er cos that weren't the one he hired.
PS02H|No I know it weren't.
PS03C|He wanted a bigger didn't he.
PS02H|Yeah but tha tha.
PS03C|Yeah I'll ask him.
PS02H|that'll be plenty big enough cos there's not that much we yo we need to move.
PS02G|No.
PS03C|Oh I thought you was buying that one so Ann told us.
PS02G|They wanted.
PS02H|We'd like.
PS02G|too much money.
PS02H|We'd like to.
PS03C|So Ann told us so that's.
PS02G|They wanted too much money.
PS6TB|Hello hello hello hello.
PS03C|Too much where you off to then Somewhere.
PS02G|just bought one there.
PS03C|Oh yeah oh.
PS02G|So.
PS02H|And we might ask a depending on how much it's gon na be ask I du n no if Rogers still got his van or.
PS02G|Or somebody you know give them.
PS02H|or young Simon.
PS02G|twenty quid or something if they'll me theirs or.
PS02H|It's only really the bed the washing machine the table and a couple of wardrobes.
PS02G|Cos I'll be having a new three piece.
PS03C|Yeah.
PS02G|so I shan't take that and.
PS03C|No.
PS02G|carpets we're.
PS03C|Oh.
PS02G|having new and.
PS03C|Yeah.
PS02G|I mean another thing.
PS03C|Yeah I'll.
PS02G|They wanted too much money for it I mean we paid three thousand in rent and that was supposed to come off it he still wanted.
PS03C|Oh.
PS02G|the same a as what Ann had for theirs I mean we've had it for a year and paid all that rent.
PS03C|Yeah Oh.
PS02G|So we decided it weren't a good enough buy re he.
PS03C|No.
PS02G|wouldn't knock he wouldn't come down at all and then the everywhere else were knock some off if the market's not very good at the moment.
PS03C|Yeah oh so.
PS02G|So we've got quite a bit off this one.
PS03C|Yeah oh.
PS02G|so so we went u.
PS03C|and you sort of round town.
PS02G|Yeah it is it's near enough to town but out of it.
PS03C|Yeah yeah.
PS02G|Out the way.
PS03C|Well it's a yeah you.
PS02G|We been li that's what we've doing house hunting.
PS03C|He's alright.
PS02G|Yesterday we made our mind up to have that one and we've set a sign some papers so.
PS03C|Yeah.
PS02G|it's all going ahead they want us in as soon as possible that's how we got such a good.
PS03C|Yeah.
PS02G|thing but my.
PS03C|I know.
PS02G|rent's up the sixteenth of December and there's.
PS03C|Is it.
PS02G|no point in paying another months rent.
PS03C|No.
PS02G|Yeah we're going to stay with his mums's for a few days sh sh.
PS03C|Yeah.
PS02G|she's quite happy.
PS02H|another two hundred fifty quid rent and.
PS02G|I mean that'll go towards solicitors fees.
PS03C|That's it.
PS02H|or whatever.
PS03C|That's it in n it Yeah he's alright.
PS02H|Physically.
PS03C|Yeah it's just a bit of pain.
PS02G|I mean I wouldn't ask him if he isn't very well.
PS03C|No he's he's a lot better not got.
PS02G|I say I don't think I can a manage to l help Stuart lift the washing machine.
PS03C|Yes.
PS02G|and the big wardrobe it's.
PS03C|No yeah.
PS02H|I'll see how it goes anyway but if you ask him.
PS02G|Yeah.
PS03C|Yeah.
PS02H|how much it was I'd like to find out.
PS03C|Yeah I'll fi I'll find out for you.
PS02G|So we've got an idea of how much.
PS02G|it's gon na cost us to move.
PS02H|Say if not.
PS02G|Well I'll be moving to mums' for start anyway put them in her garage unless we get the keys ever so quick.
PS03C|Yeah.
PS02G|If they're gon na put it through as quick as they can for us cos they want us.
PS02H|They want us in.
PS02G|We've got this bargain through.
PS02H|Anyway I'll see you later dear.
PS02G|cos we agreed to do it quick we've got a.
PS03C|Yeah.
PS02G|bargain you see.
PS03C|Well yeah.
PS02H|When they want a.
PS02G|Near where you are and where where I am.
PS02H|Are you oh they are twenty five past five for me.
PS02G|Yep alright darling.
PS03C|See you later then Ann.
PS02G|Yeah just wasn't a good enough.
PS03C|Buy.
PS02G|buy.
PS6TB|I'm staying.
PS02G|I thought that when.
PS02G|to bargain and now I suppose I can't sell anything.
PS02G|that's the price really.
PS6TB|did he say for me and I thought I was going to go.
PS6TB|I though urgh.
PS02G|wanted se six thirty six with a ours is only thirty five.
PS03C|Mm well Ann and she got it for thirty two and a half.
PS02G|That's what we offered.
PS03C|Oh but.
PS02G|With the three thousand we've.
PS03C|Yeah.
PS02G|paid but he won't.
PS03C|Except.
PS02G|have it He wouldn't so we said no.
PS02G|Not when there's so many bargains about.
PS03C|at work it's a tip.
PS6TB|That'll do.
PS03C|She wanted.
PS6TB|alright Hello Barbara.
PS6TB|are you.
PS6TB|No I'm having.
PS6TB|Ah no.
PS6TB|She couldn't find the white one.
PS02G|Ain't got no to do Jean.
PS037|basket well I was just saying and them chairs to do.
PS02G|Well you been doing with Ann have you.
PS6TB|Some of them take it back.
PS6TB|It's not it's just the packet well it's nearly half eaten he'd chewed it.
PS6TB|Have you turned it off.
PS6TB|But she does look a bit silly though in it.
PS6TB|Yeah.
PS02G|Ooh I know what I've got to do.
PS6TB|What's that.
PS02G|Go and collect my prizes What did I do with the bloody tickets now I lost them Oh I'll get them in a minute.
PS6TB|claimed it well Betty's got a receipt anyway.
PS02G|Yeah I know but they got a queue I'll wait till later when they're not so busy.
PS6TB|Done well for a change.
PS02G|I'd have I've got some good prizes just lately get two in that that's bloody lucky Stuart was very happy he's gon na get a bottle of whisky it couldn't of been a bottle of bacardi for me could it He said that'd be my winning ticket I said you haven't paid for them so how can it be.
PS02G|I don't know what the snowball is.
PS02H|D' you get them.
PS02G|Pardon.
PS02H|You got them have you.
PS02G|The prizes no I'll wait till.
PS02H|No the.
PS02G|till the queues off.
PS02H|tea the tea.
PS02G|The tea yeah.
PS02H|Yeah I know I know it's got a lot of milk in and I did ask for it for you but she still give me one like that.
PS02H|Oh I don't worry about that.
PS02G|All the same.
PS02H|Don't matter about that cheers.
PS02G|No I'm not.
PS02H|Ahhh.
PS02G|I haven't been up here many minutes quarter to twenty to five now.
PS02H|Ha.
PS02G|How you doing alright.
PS03F|Yeah.
PS02G|then.
PS6TB|Yeah I know I'm.
PS02G|Gone now must drive up.
PS6TB|No he.
PS038|Oops.
PS02G|No I better not.
PS037|Not even just one.
PS02G|No not even one.
PS02G|I was no I'm not having one just seeing them.
PS037|Oh well.
PS037|Ooh that's.
PS6TB|Go on have oned' you wan na be famous.
PS037|How old is that Graham Gooch cos he doesn't wear his.
PS02G|No.
PS6TB|pony tail.
PS6TB|famous skin.
PS02G|Who's the third one.
PS03F|Looks like it from here looks like.
PS02G|That's what I thought.
PS03F|Can't be him if you'd have paid five quid a ticket.
PS02G|No it isn't him.
PS02G|It looks like.
PS02G|Nobody minds paying Oy ey.
PS03F|Bill might.
PS02G|Cos he thinks he might win.
PS03F|Wan na see his opponent he's an old bugger isn't he.
PS02G|One's Jilly's husband isn't it.
PS03F|Billy's husband.
PS02G|Jilly's husband she's got one for herself and one for her husband.
PS03F|Don't work here does he.
PS02G|No and she get one in.
PS03F|A rotten Wish I could walk.
PS02G|Doubt if be in there cos he knows we're not I don't know what the snowball is it might be a plastic snowball If it is I'll just get some and give one each the kids I think we've got enough sweeties.
PS03F|Well we don't eat them do we really.
PS02G|they've had all and oh lunch he'll manage dinner can't swap them about Are you alright then.
PS03F|Mm.
PS02G|Done any they're all as soon as you walk in it's yours in n it Cos you ask her or did you just start doing it.
PS03F|Tom I just stood there so hanging around waiting to see what were going on and I had to.
PS037|Back to the old job then.
PS02G|Every time you're in there you'll be doing that and next minute you're on so next fortnight.
PS03F|Why.
PS02G|You're on the divisors strimmers and and we're on cutting our lot.
PS03F|Well.
PS02G|You're on strimmers and skimmers.
PS02G|Well.
PS03F|I hope.
PS02G|Why Is somebody off.
PS03F|Dick and Wayne.
PS02G|Both of them.
PS03F|On holiday one's leaving.
PS02G|Oh you will be then that's what I say to Kev bloody well ask.
PS03F|Bloody can.
PS02G|Don't struggle.
PS03F|Mark.
PS02G|Mark.
PS03F|Rolfy.
PS02G|Rolfy.
PS02G|Bet she made you struggle last week during the week so as they wan na ask for somebody.
PS03F|Wouldn't mind it but.
PS02G|The queues gone shall I go and get our prizes Give us fag.
PS02H|Oh I heard that's what they had in n it You're favourite.
PS02H|Oh they're gon na approached him.
PS02G|They're locked in here so she's gon na get them for me in a minute no worry Is a drink snowball she thinks It might not be.
PS6TB|Whatd' you win.
PS02G|She's lot a trouble.
PS02H|Who.
PS02G|It's is a drink snowball might as well put snowball don't mind do you.
PS02H|I asked.
PS02G|Will that do you.
PS02H|I'll settle for that.
PS02G|You'll settle for that I bet it won't last long I'll wrap it up for your Christmas present.
PS02H|Hey.
PS02G|got something.
PS02H|Fair enough fair enough Do you know all the.
PS02G|This snowball is Bacardi.
PS6TB|It's a drink Ann.
PS02G|Yeah.
PS02H|Who.
PS6TB|It's a drink.
PS02G|Thank you.
PS6TB|What you going home.
PS6TB|Yeah.
PS02G|Ha ha I paid for the tickets I'm gon na drink it.
PS6TB|Do you like snowball.
PS02G|I'll drink it yeah you can have a snowball.
PS02H|Er no I'll have.
PS02H|I'll have the whisky I'll settle for that.
PS6TB|You'll like that.
PS02G|Yeah I like snowball I don't mind that that'll do for my Christmas drink Is that half or a.
PS02G|Might buy one.
PS02H|Better than rolling them out.
PS02G|won't go.
PS02H|Rod Stewart you keep them talking.
PS02G|but he seems nice not bad is it.
PS02H|No It isn't now for the rest nobody has got them.
PS02G|No problem.
PS02H|The was nice.
PS02G|It's not that I need them.
PS02G|no not I don't think.
PS02H|with lemonade advocat and.
PS02G|Lime.
PS02H|Lime that's it.
PS02G|Lemonade as well lemonade.
PS02G|Yeah I might want that one you have.
PS02H|Yeah.
PS02G|other ones.
PS02H|Not that strong.
PS02G|Ay.
PS02H|It's more than eight percent.
PS02G|Is that proof.
PS02G|Not much is it Ay.
PS02G|Is it Oh steady I'll have to go easy then.
PS02H|Yeah we know what you piss artists are like.
PS02G|Ah I don't mind Christmas pass them on.
PS02H|let mum have one No she'd.
PS02G|Probably under the circumstances probably better if she does.
PS02H|Sheila might.
PS02G|No well Sheila's got her a bottle of gin.
PS02H|Oh yeah.
PS02G|I bet that that'll her Christmas actually.
PS02H|Good idea really.
PS02G|And the microwave she's got her cat book a bottle of gin and a just buy her something else to go with it out of that twenty five spend the rest on mum that's what I was thinking.
PS02H|Money that'll do her we'll have a.
PS02G|She's she's got a cat book.
PS02H|Spend the whole lot on mine couldn't you Ann.
PS02G|I wouldn't do that gave vouchers looks as though you can't be bothered she knows I'm getting that voucher of that I'll probably go and see something.
PS02H|Yeah and goodness knows she can't she.
PS02G|Well I'd rather I'd rather buy something and I no point buying her jumpers I think she's got jumpers ha so.
PS02H|Pair of trousers.
PS02G|Mum wants a pair of trousers for going out with you know well she's got plenty but like I say it's but then you get I'll no it's not very personal to give somebody a voucher though is it.
PS02H|No I suppose not.
PS02G|I mean it's not as though you made a lot of effort it won't take us long to nip over can always have look around that furniture place and our carpets I know that's one of these cos I got that.
PS6TB|Do you want any draw tickets anybody Mind.
PS02G|I du n no dear cos I don't think I've got any money.
PS02H|More money for more tickets.
PS02G|I don't think I got any money.
PS02H|I'm.
PS02G|I ain't got a lot that's for certain In there I have got I had enough for tea break.
PS02H|I got some.
PS02G|you got enough I've got enough for yeah.
PS02H|It's alright I got these.
PS02G|Don't know.
PS02H|Yeah it's lady.
PS02G|Say I didn't right.
PS6TB|It's this er.
PS02G|Oh we'll have a pound each then.
PS02G|There's a lot of bottles in that one prefer the Christmas one they're the most bottles I won a bottle of sherry I didn't thing last year everybody wine.
PS02H|Oh yeah.
PS02G|We should have left it there could of been more than this one.
PS02H|It's.
PS02G|I du n no how many pints of bloody wine.
PS02H|Three pints each.
PS02G|Yeah something like that in a cardboard box with a tap on.
PS02H|Remember that thing as well.
PS02G|Fourteen ninety nine Out of that it's all bottles ey or most of them bottles.
PS02H|Yeah make a in here just the two in it.
