KCDPSUN|I wasn't really expecting to go into Jenny's.
PS0EA|Is he in charge.
PS0E8|He's in charge yes He's Head Master.
PS0EA|What comes if someone's ill I suppose there are bound to be a couple of people.
PS0E8|I don't know Maybe if you really are they'll send you home.
PS0EA|On your own.
PS0E8|No One of the staff would have to come with you Not that one of the that couple.
PS0EA|Yeah.
PS0E8|You can't ring the doctors on the Isle of White.
PS0EA|Oh if you have been really ill.
PS0E8|I should think the one's whose most vulnerable is Clare Montgomery She's just had her operation.
PS0EA|I'm surprised she's still going on it so soon after She gets a cough If by any chance she catches it off me she's going to have a really sore throat isn't she.
PS0E8|I think she wants to go I don't think anybody wants to be left behind.
PS0E9|take more crisps.
PS0E8|No I think you've had enough.
PS0E9|Oh I've only had a few I didn't have many did I.
PS0E8|No Don't know really.
PS0EA|I'm quite looking forward to it You know er you get your packet money each day and you can buy things But I'm not over keen on nuts.
PS0E8|Good fun I think if Mr Statton says you'll be so tired would you like to go and get your reading book and get a hanky and.
PS0EA|You get prizes afterwards so that er one had the best kept room and another one.
PS0E9|Can you get a hanky.
PS0E8|Where have you come.
PS0EA|About five are the best people to live with.
PS0E8|You might get one from happiest.
PS0EA|Happiest me If I wake up with ear ache that's.
PS0E9|There isn't any.
PS0E8|Aren't there.
PS0E9|No.
PS0E8|Is the box not in there or is the box empty.
PS0E9|The box is empty.
PS0E8|Is it Hmm hmm I'd better get another box I'd better get some from Boots then I think.
PS0EA|Yes because I've run out.
PS0E8|Well you read a bit to Clare while I go and get the.
PS0E9|next Next morning on the shore was so happy that he wanted to jump All right come along Lindy he shouted Let's explore I'll race you to the stone wall.
PS0E9|To the stone wall by run as fast as I could one one but Lindy did not mind Your legs are longer she said are you argon.
PS0EA|Aught.
PS0E9|Aught to win Let's explore either the water said Bill At first Lindy did not want to go over the wall There might be wild animals on the other side.
PS0E8|Right let's.
PS0E9|she said.
PS0E8|Come on then here's a hanky.
PS0E9|I'm not afraid said Bill Boyd I'm not afraid of anything.
PS0E8|Good big blow good big blow.
PS0EA|Can I have another puff.
PS0E8|Might be.
PS0EA|Thank you.
PS0E9|Girls are not afraid either said Lindy Pardon me When she come out after them Once David got off off the wall.
PS0E8|Therey'are.
PS0E9|they made the best discovery.
PS0E8|Good girl.
PS0E9|Of all there was a pond It was a sa so big that it was almost a lake Trees and bushes grew right down to the very edge of it You could.
PS0EA|Friend's house.
PS0E8|Pardon.
PS0EA|I've got a friend's house on the back.
PS0E9|stand on the bank and.
PS0E8|No I've done that.
PS0E9|throw little stones into the water to make.
PS0E8|It's here.
PS0E9|rings and splashes.
PS0EA|You recorded it at Jenny's.
PS0E8|Oh I've done that one.
PS0E9|Mummy.
PS0E8|Yes Good girl.
PS0E9|Um what did they make their best discovery what's their best discovery.
PS0E8|The pond I think There was a pond.
PS0EA|So what shall I do now.
PS0E9|Discovery They made the best discovery of all.
PS0E8|Hmm.
PS0EA|Where.
PS0E8|Just leave it at the moment I'm trying to here if you can't.
PS0E8|If you can do it yourself do it but I'm trying to hear Amy read.
PS0E9|It looks deep said Lindy How deep deep do you think it is It's deep deep.
PS0E8|It's deep enough.
PS0E9|enough to swim away.
PS0E8|It's deep enough to swim in.
PS0E9|in.
PS0E8|Answered.
PS0E9|answered and deep enough for a boat if we had one If we had a boat we could row across to the island of a picture.
PS0E8|for for a.
PS0E9|for a picture.
PS0E8|For a what do you think Row across the island for a what might they have.
PS0E9|Pic.
PS0E8|Pic nic.
PS0E9|Picnic.
PS0E8|nic.
PS0E8|Picnic.
PS0E9|I couldn't see where it was Picnic.
PS0E8|Yes.
PS0E9|The island was a small one in the this has got a heart middle of the pond I couldn't find the right line that's why I did that.
PS0E8|All right.
PS0E9|It had all trees on it and looked as if it had been made for picnics.
PS0E8|Hmm hmm.
PS0E9|The children looked all along the bank to see if they could find a boat Suddenly they heard a quiet noise.
PS0E8|I should think.
PS0E9|A quiet noise Lindsy jumped with fright.
PS0E8|Fright.
PS0E9|What was that Bill she whispered Bill did not answer.
PS0E9|For a moment He was frightened himself.
PS0E8|Though though.
PS0E9|though he did not want Lindy to know that they listened until they heard a noise again Then Bill laughed Oh Lindy you were were.
PS0E8|You were.
PS0E9|Afraid he said Girls are always afraid nothing.
PS0E8|Of nothing.
PS0E9|Girls afraid.
PS0E8|Girls are always afraid of nothing.
PS0E9|nothing It was a.
PS0E8|It was only.
PS0E9|Only a only frogs They must be at the end of the pond Let us go and see then said Lindy There might be some tadpoles too The children went to on tip toe but the frogs stopped singing.
PS0EA|Can I go can I go and play with tennis trainer.
PS0E8|Yes if you like.
PS0E9|Where is she going to play.
PS0E8|Could you open my greenhouse and put it on that.
PS0E9|Where's she going to play going to play tennis Can she she can't play it on her boat oh yes that thing.
PS0E8|Hmm.
PS0E9|The water was warm and suddenly.
PS0E8|And shallow.
PS0E9|and shallow There water lilies.
PS0E8|water lily.
PS0E9|leaves spread.
PS0E8|Hmm hmm.
PS0E9|spread themselves like green plants on the water.
PS0E8|green plates.
PS0E9|Pardon.
PS0E8|plates.
PS0E9|green plate They're plants I thought.
PS0E8|A bit like.
PS0E8|No plate Very like it.
PS0E9|Like plants.
PS0E8|Hmm.
PS0E9|On the water and bog.
PS0E8|Mm good girl bog.
PS0E9|bog plants Does that say plants Grow along.
PS0E8|All along.
PS0E9|I forgot I thought that was that word Croak croak croak one frog began to croak all by himself Others.
PS0E8|Hm hm.
PS0E9|Enjoyed.
PS0E8|Joined.
PS0E9|Join.
PS0E8|Others joined.
PS0E9|in.
PS0E8|in.
PS0E9|from all over the pond until they made a long chorus croak croak croak they are saying A frog climbed on to a lily leaf quickly.
PS0E8|quite.
PS0E9|quite oh where am I Quite close to Lindy and Bill His eyes stuck out from his head like little squab knobs.
PS0E8|that's difficult Knobs It's a silent K.
PS0E9|Knobs of I thought he was a squab knob.
PS0E8|Yes it's a bit difficult that one It's a silent K you know like knees knobs.
PS0E9|Cob knobs I said Knobs.
PS0E8|Start from where it says little knobs he.
PS0E9|Okay He looked could look at the children over.
PS0E8|Although.
PS0E9|Although he were needed.
PS0E8|Although they were nearly.
PS0E9|Nearly behind him Were him.
PS0E8|Watch him.
PS0E9|Watch him Lindy said Bill and see if you can see if you can see his.
PS0E8|Tongue.
PS0E9|tongue shoot out or.
PS0E8|Shoot out our.
PS0E9|Our teacher told us that frogs toot.
PS0E8|tongues.
PS0E9|tongues are stick.
PS0E8|sticky.
PS0E9|sticky at the ends That is why they can catch flies so easily with them How would you like to catch your dinner by putting out your tongue I would.
PS0E8|I wouldn't.
PS0E9|I wouldn't like it at all answered Why wouldn't she.
PS0E8|Would you like to catch your dinner by putting your tongue out to catch it.
PS0E9|No.
PS0E8|No.
PS0E9|Why.
PS0E8|I wouldn't like it at all answered Lindy.
PS0E9|Lindy But it must be nearly dinner time now I do feel hungry We better go home then said Bill but we shall come back here again We may be able to find a boat next time.
PS0E8|There.
PS0E9|The apple orchard.
PS0E8|Your reading's getting a lot better I think You're doing very well.
PS0E9|They are long chapters I think that was quite enough.
PS0E8|It's a long book A hundred and twenty eight pages.
PS0E9|I know.
PS0E8|Hmm.
PS0E9|What's that one Well of course Miss MacDonald wouldn't have wouldn't mind you to keep a book for quite a long time.
PS0E8|No No it's all right Right let me get cleared up and then we'll go into Bromley You're going out with Clare.
