KE3PSUN|That's funny weren't it.
PS0V6|No not worried she said you walk in you get changed and you sit back and that's it silence.
PS0V4|Oh.
PS0V6|Nobody speaks.
PS0V4|Mm Can I have a few more thank you.
PS0V4|What Oh okay I'll set a little game.
PS0V6|Will you.
PS0V4|Yeah.
PS0V5|I liked it knowing what I want.
PS0V6|No it's horrible cos you just sit down an that's it.
PS0V5|It was a good idea taking your own dressing gown though wasn't it.
PS0V6|Mm.
PS0V5|There was one girl there today she was about fifteen or seventeen and she had to put her coat on over the top of the gown because it was.
PS0V4|Oh.
PS0V5|all open down the back and you had to walk out through a huge waiting room full of people.
PS0V7|Well that's bad isn't it.
PS0V4|That's awful isn't it.
PS0V5|Yeah mm.
PS0V7|Would they lend you a dressing gown.
PS0V5|Well normally they'd given them dressing gowns before but it's the first time they've had gowns isn't it White gowns.
PS0V6|Yeah they had gowns before and that's what remember.
PS0V5|Oh yeah that's right you had to hold yours up together as well.
PS0V4|Mm.
PS0V6|Don't go in there and that could have gone down my whole body as I was walking through everything keeps falling off.
PS0V5|Just think that's going to pick up all your tummy gurglings gurgle gurgle.
PS0V6|Do you think we could have a listen to this.
PS0V4|Well the only way you can listen to it.
PS0V6|Mm.
PS0V4|Is on the headphones.
PS0V6|Couldn't you stick them on me.
PS0V7|How long will one of those tapes last then Tony.
PS0V4|Forty five minutes well each side is forty five minutes.
PS0V7|And.
PS0V4|Well I don't know but it's still going.
PS0V5|There's a tape counter on it.
PS0V4|Sorry.
PS0V5|There's a tape counter on it.
PS0V4|Oh it just gives the numbers though.
PS0V7|Do you just clip that on your trousers.
PS0V4|Yeah.
PS0V7|You'll have to watch it don't come off then when you get in the car.
PS0V4|Yeah yeah I will let's see here we what are we recording.
PS0V6|Gran what was it you wanted.
PS0V7|I'm coming out.
