KBYPSUN|Hi.
PS10M|Do you heat them up under the er.
PS10L|No.
PS10L|No.
PS10M|Ah They act as a.
PS10L|I think so You'd never No it's just.
PS10M|Well I didn't know what the sort of modus operandi is er.
PS08X|Same as.
PS10M|you might as well you see.
PS08X|It's cold isn't it.
PS10L|Right Erm.
PS08X|We've lost all the mats That's my brother Mum I can't find any mats The little round ones They must have been about.
PS10L|Look at this.
PS08X|I know you said Somebody gave them.
PS08X|to you That's nice of her.
PS10L|Yeah You get the er the newest one Mike Oh fine.
PS10M|Well that's the plan isn't it.
PS10L|Yes that's the one.
PS08X|Hey That's a nice.
PS10L|I shall have to go into the garage tomorrow and get a I've got I was gon na put it up there actually It'll be alright overnight won't it.
PS10M|I just.
PS08X|Excuse me.
PS10M|Yeah I just put a drop of this erm.
PS10L|What time are you working tomorrow Elizabeth.
PS08X|Nine till one.
PS10L|No I'm just thinking about erm next Tuesday I'm supposed to working it turns out but I shall try and work it so that I can still come shopping with you but I shall have to leave.
PS08X|Early.
PS10L|well.
PS08X|Well I've got.
PS10L|you know and have a quick browse If we get up early haven't you got any lectures at all on Tuesday.
PS08X|No I just got a teaching thing but it's you know.
PS10L|Well we could get up there fairly earlyish couldn't we.
PS08X|Yeah.
PS10L|I'll see what I've got when dear Les comes.
PS08X|Dear Gerald.
PS10L|Oh don't be stupid now Elizabeth.
PS08X|There's a hole there Because I only said if you cut.
PS10M|Don't worry there's plenty of bits.
PS08X|them all in half there'd be enough to feed the street wouldn't there I looked for one of those sandwich box things for Gerald in Sainsburys and they hadn't got one I think they must be getting.
PS10L|Perhaps they've only got them in Well do you want me to pick one up while you still go into.
PS08X|Yeah I'll I'll have one I'll come next time you do the monthly shop I'll get one but I'll make him some biscuits I'll make him some biscuits on Saturday afternoon I think.
PS10L|Well I've er I'll probably go to the other Sainsburys on Saturday ah do you want me to see if there's one in there.
PS08X|Yeah.
PS10L|I'm glad somebody's appreciating his work.
PS08X|Mm.
PS10L|Maybe this'll be the end the end of Christmas time.
PS08X|I don't want any of those beans.
PS10M|That you're not getting any.
PS08X|I don't want any beans.
PS10M|Oh well why not.
PS10L|I'm almost ready now So do you want to just do those.
PS10M|Yes I will if you want.
PS08X|Shall I pour the tea then.
PS10L|Well I'm sure if whether we're at that stage or not.
PS08X|Mm.
PS10L|Oh yes Go on then.
PS10M|Erm well leave leave me alone while till I can get the er.
PS10L|Why don't you take that in with some milk And just put it on the coffee table but keep it away from those books.
PS10M|Mm Just have a little milk shake.
PS08X|I'll just take the mugs through shall I.
PS10L|Mm These are virtually ready now.
PS10M|Mm Bring the eggs over here and I just take that through there.
PS10L|Get your brother a mug.
PS08X|Well is he coming down Has he eaten.
PS10L|No.
PS08X|Well I've only got three mugs here.
