KB2PSUN|Otherwise form two.
PS01U|it were half past twelve so I'd done.
PS01V|Mm.
PS01U|no collecting.
PS01V|Mm.
PS01U|Anyway I says to Di I'm not doing any in this You couldn't even see where you had to turn off into street it were worse Saturday.
PS01V|Yeah.
PS01U|morning than it was Friday.
PS01V|But no it's not worth it.
PS01U|So I didn't bother if they paid me My Thursdays is absolutely brilliant They're spot.
PS01V|Mm.
PS01U|on Never miss your you.
PS01V|Mm.
PS01U|can go out and think well I'm gon na pick up six hundred pound today.
PS01V|Mm mm.
PS01U|and I must have collected two hundred at most.
PS01V|Mm.
PS01U|Yesterday Cos you know everything just went wrong To start with Wednesday night one of the customers rang me up.
PS01V|And that's your.
PS01U|it was.
PS01V|good day.
PS01U|Yeah Sh she pays me fifty pounds she rang me up she were away to a funeral.
PS01V|Mm mm.
PS01U|she wouldn't be in Then er it was like that all day.
PS01T|Mm.
PS01U|One way and another.
PS01T|Somebody else has got ta get their giro banked pay hundred and thirty quid I couldn't change it.
PS01V|Ah.
PS01U|Cos you can't change cheques now pick sixty five pound up he had.
PS01V|Ah.
PS01U|I'll pick it up Monday night.
PS01V|Yeah.
PS01U|It's not this week is it So.
PS01V|No.
PS01U|I'm off to Germany next week.
PS01V|And what do you do about your holiday well pay then.
PS01U|You get seventy five pound holiday pay Minus your stoppages.
PS01V|Oh do you Oh.
PS01U|Mm.
PS01V|They give you a they give you holiday pay then.
PS01U|Yeah.
PS01V|And yet they don't give you a basic wage.
PS01U|No.
PS01V|That's.
PS01U|So and it's just not very good it's part of.
PS01U|the tax code come in you know Joyce your tax code.
PS01V|Oh I du n no.
PS01U|Cos they you know.
PS01U|when they owe you three hundred and fifty pound and then they had two thousand one hundred on not getting my car So I don't know I don't I got a tax code now for next year.
PS01V|Oh.
PS01U|Cos you er they put two hundred and four next year it's nil So everything I earn is taxable.
PS01V|Oh God.
PS01U|So oh I've only got a year and then she's finished college anyway.
PS01V|Yeah I bet you'll be proud of her.
PS01U|I have been but I always go home You know glad when she's gone back.
PS01V|You know this government I don't know what's the matter with this government it seems.
PS01U|Yeah.
PS01V|Er it were in paper about this er this woman she'd gone to the hospital and she must have been there longer than she thought and so she'd got her car clamped and it was thirty pound to have it off but.
PS01U|Yes.
PS01V|she hadn't got thirty pound on her Took her little boy to the hospital So the attendant says to her have you got a wrist watch and she hadn't got her wrist watch on but he spotted her wedding ring and he said I'll take that and she said she had to hand her wedding er ring over and she vowed when she put that on that she would never.
PS01U|Mm mm.
PS01V|take that off And then she said here she was hanging handing it to a stranger and you know what they said.
PS01U|So she could get her wheel get her car back.
PS01V|to get her car back you know what they said if she doesn't pay that thirty pound within six weeks they'll pawn it.
PS01U|Mm.
PS01V|They'll auction it.
PS01U|I know Well.
PS01V|to get her.
PS01U|So.
PS01V|thirty pound.
PS01U|so that was the wedding ring gone.
PS01V|Yeah.
PS01U|I mean that is the thing yo you know hope they want to auction like that.
PS01V|Oh I can't believe it.
PS01U|I know they will.
PS01V|And er.
PS01U|Quite a few years.
PS01V|It's true that.
PS01U|But now I've just done a refill.
PS01V|Oh do you.
PS01U|Mm.
PS01V|Oh I always give you first cup I'll have to give you the last one then.
PS01U|No it's nice this Oh I don't know.
PS01V|What did you say Anne there's a programme on it.
PS01U|Yeah There were a programme on telly about it making a fortune these clampers.
PS01T|Aye.
PS01U|They drive down you know our town and cities.
PS01T|Yeah.
PS01U|they're driving round.
PS01T|Drive to get the fine don't they.
PS01U|Yeah They're driving round and say oh we'll have that Straight away And what's what happens is er if you're if you're on scene they're not supposed to take it clamp it.
PS01T|Right.
PS01U|but they were doing you know and then you'd got to go and claim it back But it says by law if you're on the scene they're not allowed to clamp it's you know they're supposed to.
PS01V|If you're on what.
PS01U|If you're on scene and then.
PS01V|Oh yeah.
PS01U|say if you come back and they've said they're.
PS01V|Yeah.
PS01U|just gon na clamp you.
PS01V|Yeah.
PS01U|and then they're supposed.
PS01V|They stop.
PS01U|to er you know erm you supposed to be er be able to drive away.
PS01V|Yeah.
PS01U|But they're not They're saying oh you know you'll have to come and pick it up They're on a right bomb.
PS01V|Are they Mm.
PS01U|Int it awful Now the council er er the.
PS01V|Colonaise the council car park at Colonaise Pete works there don't he.
PS01T|Yeah.
PS01U|Or just started to work there It were thirty pence when it were when it was er this fella owned it.
PS01T|Yeah.
PS01U|the council's took it over.
PS01T|No the council's took it over they sold it to this bloke.
PS01U|The council's took it over now and it's sixty pence The council has because that's who Pete works for And that's how he's got that job.
PS01V|And what about me paying ten pound fine didn't I Cos I were twenty minutes over the.
PS01U|Yeah.
PS01V|thing.
PS01U|Oh it's disgusting it is I reckon Disgusting.
PS01V|Well I don't know.
PS01U|Makes you wonder.
PS01V|They have in fact they're they're absolutely slaughtering the motorists aren't they.
PS01U|Mm.
PS01V|I mean all the money that you.
PS01U|Yeah.
PS01V|pay I mean oh and two pound odd to er petrol.
PS01U|Yeah.
PS01V|A gallon.
PS01U|It's ne there's no need for that is there No need at all Our Nicola's been moaning all week.
PS01V|Has she.
PS01U|Cos car's been here since Saturday.
PS01V|Ah.
PS01U|She thinks it's her car Joyce.
PS01V|Does she.
PS01U|Yeah She thinks it's her car.
PS01V|Oh.
PS01U|But she's been moaning.
PS01V|I thought she'd got her own little car.
PS01U|No No she uses Bill's car.
PS01V|Oh I thought she'd got her own.
PS01U|No.
PS01V|Oh.
PS01U|No wouldn't be alright running a car for her would we.
PS01V|Oh Well I thought she had a mini You know she had it bro broken into to was it your.
PS01U|It was Bill's.
PS01V|car No.
PS01U|She'd got it more than Bill's got it.
PS01V|Oh.
PS01U|I mean Bill's got a lift all week he he.
PS01V|Mm.
PS01U|he would never mo moan or groan because.
PS01V|Mm.
PS01U|his car has got to be done.
PS01V|No.
PS01U|and her ooh give them a ring see if it's ready yet.
PS01V|Mm.
PS01U|You know.
PS01V|Well don't Bill use it for work like.
PS01U|No.
PS01V|Oh.
PS01U|Yeah But she uses at night and.
PS01V|Yeah.
PS01U|weekends you see.
PS01V|Oh yeah.
PS01U|Oh She says I couldn't.
PS01V|You know it's like er George next.
PS01U|Yeah.
PS01V|door but one er his grandson takes off with his car He's never a car there to when he wants to go.
PS01U|Mm.
PS01V|shop or owt you know And he plays hell about it But he still lets him take it.
PS01U|Mm.
PS01V|So I thought well it's your own fault int it.
PS01U|Well that's Bill that.
PS01V|Yeah.
PS01U|He I says to her I says to him I said look I said you want to tell her when.
PS01V|Mm.
PS01U|she goes back to college.
PS01V|Mm.
PS01U|that er you're not you know take her back on a Sunday but you're not picking her up on a Friday I said she's got a train pass make her come home.
PS01V|Mm.
PS01U|on a tra you know on a train on a Friday.
PS01V|Yeah.
PS01U|And er but he won't You watch.
PS01V|Yeah.
PS01U|he'll be going back.
PS01V|Yeah.
PS01U|And er sure enough will you er pick me up dad.
PS01V|Mm.
PS01U|He will he'll go and pick her up so soft.
PS01V|Why don't you tell him Tell her.
PS01U|I've told her.
PS01V|You have have you Oh.
PS01U|Mm.
PS01V|You've told her.
PS01U|Yeah.
PS01T|I would say no Say it.
PS01V|Yes.
PS01T|don't matter where ours are.
PS01V|Yeah he does I mean our little'un's.
PS01T|I don't.
PS01V|coming on Sunday but he'll go and pick them up and take them back.
PS01U|Mm.
PS01T|No matter where they are I'll I'll I'll go and pick them up.
PS01V|Mind you I was surprised that his.
PS01U|Yeah He do.
PS01V|has his sister er you ought to come over on Sunday er I was surprised you said on Sunday cos we well last Sunday we went and had a drink with them And she said yeah didn't she straight away.
PS01T|Mm.
PS01U|I've just got to take car into Halfords tomorrow to have er the radio cassette put in and.
PS01V|Oh.
PS01U|it's all the messing about Dear God.
PS01V|Is it.
PS01U|Yeah Erm.
PS01V|Mm.
PS01U|I went last Saturday and bought a radio cassette and speakers and.
PS01T|Mm.
PS01U|and aerial.
PS01T|Haven't you got one.
PS01U|from Halfords Yeah there.
PS01V|No.
PS01U|weren't one in car.
PS01V|Oh.
PS01T|Oh.
PS01U|Then I bought yeah I said I feel as if I've gone deaf you know what I mean cos there's no.
PS01V|Yeah.
PS01U|music in car.
PS01V|Yeah.
PS01U|So anyway he says oh he says we'll fit it for you.
PS01V|Mm.
PS01U|if you want Thirty eight pound.
PS01V|Mm.
PS01U|So Bill says well you might as well let them fit it.
PS01V|Mm.
PS01U|So anyway we booked it in to have it done Sunday.
PS01V|Mm.
PS01U|Bill takes it through Sunday he come back the they're special door speakers and you've got to have the front door because there's a bar at back so these are special speakers that.
PS01V|Mm Mm.
PS01U|fit flush.
PS01T|Yeah.
PS01U|So erm anyway so they said that yo they can order you some ring.
PS01V|Mm.
PS01U|them up and let them know So I rang up they said er oh we'll order them and we'll get back to you of how much they are Never rang me back.
PS01V|Oh.
PS01U|I rang up cos they hadn't rang me back er oh Er he's gone to Barnsley cos they asked me to ask for this gone to Barnsley So then th er asked them to ring me back Never rang me back So I rang.
PS01V|No.
PS01U|him back again.
PS01V|Mm.
PS01U|He said ah.
PS01V|They're spending your money all the time you're ringing them.
PS01U|Ah I'll see to it for you.
PS01V|Yeah.
PS01U|Er I'll ring up after half past four.
PS01V|Whereabouts is Halfords.
PS01U|On ro er Northwich.
PS01V|Oh Is it.
PS01U|Mm.
PS01V|What down way that way.
PS01U|Yeah Yeah.
PS01V|Is it.
PS01U|Before you get there it's the big.
PS01V|Oh I know.
PS01U|service centre and mots and.
PS01V|Ah yeah.
PS01U|and exhausts are and that.
PS01V|Mm.
PS01U|Anyway they were supposed to ring back they never rang back after half past four So Bill gets on the phone I want to know what's going on what they're playing at.
PS01V|Mm.
PS01U|So anyway this bloke says oh I'll chase it up and I'll see what's going on he says I'll give you a ring in morning.
PS01V|Mm.
PS01U|They never rang I'm waiting to go and do my shopping.
PS01V|Ah.
PS01U|they never rang So I felt like I'm not getting on that phone again because I'm talking to different people you.
PS01V|Yeah.
PS01U|have to explain to everybody and.
PS01V|Yeah.
PS01U|then they're putting you through and.
PS01V|Yeah.
PS01U|if this Dave's not there they say ring back I thought I'm going through.
PS01V|Yeah.
PS01U|So anyway I went through and I said to could I speak to the manager.
PS01V|Mm.
PS01U|And er ee oh he he he's on the phone I said I'll wait Anyway he come out and I told him all rigmarole.
PS01V|Mm.
PS01U|And I said I bought the radio cassette bought.
PS01V|Mm.
PS01U|and aerial I says.
PS01V|Mm.
PS01U|the speakers I says then they said they were no good I said I've been phoning all the time I said and I still don't know about it.
PS01V|Mm.
PS01U|So anyway erm he went to see this lad then he says oh I've only just rang up about these speakers they're eleven pound odd each I says fair enough So er anyway I booked it in for in morning.
PS01V|Tt.
PS01U|So I'm to get it done.
PS01V|Are you.
PS01U|But in meantime while I were waiting for them to ring me I were that mad I thought I'll ring er G T Motors up that's one not far from us so I rang them up and I said do you put radio cassettes in cars So he said yes.
PS01V|Mm.
PS01U|So er I said er I'd got aerial and I'd radio cassette.
PS01V|Yeah.
PS01U|and I needed these special speakers.
PS01V|Yeah.
PS01U|So he said oh I'll find out how much they are I.
PS01V|Mm.
PS01U|says can you tell me how much it will be for you to fit it.
PS01V|Mm.
PS01U|So he says no Depends how long it takes me.
PS01V|Mm.
PS01U|So I says well there is an hole in roof for.
PS01V|Mm.
PS01U|aerial to fit in.
PS01V|Mm.
PS01U|Oh bloody hell he says I ain't faffing about with one of them He says this.
PS01V|Mm.
PS01U|they're more trouble than they're worth He says.
PS01V|Mm.
PS01U|if I do it I'd drill hole on bonnet and put it in there He.
PS01V|Mm.
PS01U|said sometimes he says you've got to take windscreen out if you can't get it down rubber You know.
PS01V|Oh yeah.
PS01U|aerial and that.
PS01V|Yeah.
PS01U|He says and it'll cost you a fortune he says cos it takes some time.
PS01V|Oh.
PS01U|Anyway erm but he says er I can't book it in all next week anyway.
PS01V|Mm.
PS01U|He couldn't tell me a price.
PS01V|No.
PS01U|So I thought well I might as well come.
PS01V|Leave it where it is.
PS01U|Let yeah let them do it cos they never moaned about it being.
PS01V|Is someone coming in then.
PS01T|No it's next door.
PS01V|Oh.
PS01U|never moaned about it being a roof aerial or owt so.
PS01V|Mm.
PS01U|le we'll let them do it.
PS01V|Mm Why did you go on about that erm place where you went for that beer and you know you said that we worked for that.
PS01U|Oh dear.
PS01V|paper.
PS01V|Have you left.
PS01U|No No I'm not here no more But they're not advertising I mean we keep looking in the paper every week.
PS01V|Oh yeah.
PS01U|There's no advertisement.
PS01V|Int there.
PS01U|No.
PS01V|It might just be saving money No.
PS01U|No.
PS01V|What do they call that place.
PS01U|Emperor's Rooms.
PS01V|Emperor's Rooms.
PS01U|Mhm.
PS01V|At Conisbrough there.
PS01U|Mexborough.
PS01V|Mexborough Ah.
PS01U|Oh dear I don't know.
PS01V|Mm.
PS01U|I don't know if our Danny's coming down or not tonight He says he might do he's fed up Cos he's.
PS01V|Oh really.
PS01U|not working either.
PS01V|Ah yeah.
PS01U|So.
PS01V|God he will be though won't he.
PS01U|Mm mm.
PS01U|No they're up the er back of beyond you never see a soul.
PS01V|Don't you.
PS01U|No They're all like yo like it's it's a biggish estate but they're all new houses.
PS01V|Oh.
PS01U|but they're all in little You know there's only.
PS01V|Oh.
PS01U|like there's one two three four five six and then like seven.
PS01V|Mm.
PS01U|They're three lots of semis.
PS01V|Mm.
PS01U|and a detached that's all there is so there's only.
PS01T|Mm.
PS01U|and they're all working like.
PS01V|Mm.
PS01U|So they don't see anybody.
PS01V|Mm.
PS01U|And their lounge is on back anyway so oh.
PS01V|Mm So er I've got some I got them curtains I got blue curtains to go out.
PS01U|What to go with them.
PS01V|They was to go with them they we you know the blues were to go together won't it.
PS01U|These are lovely Oh.
PS01U|Are they any good them.
PS01T|I think so yeah Fit fit ours anyway According to this it does.
PS01V|Do you like that what I've done for our.
PS01U|Oh it's gorgeous Joyce.
PS01V|I liked the blue.
PS01U|Int it gorgeous.
PS01V|I mean.
PS01U|Beautiful that.
PS01V|Just got the buttons to go on that.
PS01U|Gorgeous Joyce.
PS01T|Ah.
PS01U|It's lovely that.
PS01V|you to look at it today good job I've knitted some erm good job I've knit some jumpers for them they're gon na need them aren't they.
PS01U|Yeah.
PS01V|Yeah.
PS01U|Oh they're lovely It's not very nice.
PS01V|I've seen the look the sun's coming through.
PS01U|Gorgeous blue aren't they.
PS01V|look.
PS01U|Yeah Oh they're gorgeous colour them.
PS01V|They just look like velvet when they're open same as there.
PS01U|Ah Course they do.
PS01V|Same as these these are no.
PS01U|Course they do.
PS01V|trouble.
PS01U|I were gon na say they wash better than.
PS01V|But I've had.
PS01U|velvet.
PS01V|I've had to take them up Cos they were they were gon na be miles too long And I've not even took them out the thing They said he'd swap them if they didn't fit.
PS01U|Ah they do.
PS01V|And he.
PS01U|Whered' ya get them from Joyce.
PS01V|I got them from that er.
PS01T|Top Marks.
PS01V|that shop.
PS01T|Top Marks.
PS01V|Top Marks.
PS01U|Oh yes I know it.
PS01V|But it it sells all so they're only twenty one pound then you know.
PS01U|Top Marks.
PS01T|Mm.
PS01U|Where's that.
PS01V|Twenty one pound odd.
PS01T|Er at market at market.
PS01V|Twenty o twenty two pound odd Near market Them I got there from Solo.
PS01T|Mm.
PS01V|were thirty odd I think I were with you when.
PS01U|Mm.
PS01V|I got them rust ones.
PS01T|Used to go in Brooks.
PS01V|They were thirty five and I got these for twenty two.
PS01T|I've gone in there.
PS01V|same size.
PS01U|Mm.
PS01V|Saying.
PS01U|Yeah Just shows.
PS01V|just shows.
PS01U|you dun n it.
PS01V|Aye.
PS01U|Yeah.
PS01T|Opposite fish market.
PS01U|Mm.
PS01V|You know where I mean.
PS01U|Yeah Yeah.
PS01V|Mm.
PS01U|I ain't been in town since before Christmas.
PS01V|Have you.
PS01T|We went yesterday wished we'd.
PS01V|Oh we did.
PS01V|We stood there with nothing in our bags we went for my fruit and veg and er sto there met this couple who we know we had a right good talk to them about it were half an hour weren't we.
PS01T|Half an hour.
PS01V|And erm and then we went and got my fruit and veg and then we went in Top Marks and got them so we never got we went through for a video really never got round to looking for a video did we.
PS01U|Mm.
PS01V|Mind we're in no desperate hurry But I mean they sell them round at Dash Hill for erm they sell them for two hundred and fifty don't the shops.
PS01T|Mm mm.
PS01V|you.
PS01U|Mm.
PS01V|know Erm.
PS01U|Tt I ain't I haven't got a clue what it you know that's a good thing Joyce.
PS01V|Is it.
PS01U|They don't have them at it's at erm Home World and it like.
PS01V|Mm.
PS01U|And er our got a beauty for hundred and ninety five.
PS01T|Mm.
PS01V|Mm.
PS01U|And it's say oh brilliant.
PS01V|What kind What make.
PS01U|I think it's er.
PS01T|Dolstar.
PS01U|I don't know whether it's Amstrad or not But it's it's like er one of them dual bar ones right easy to set.
PS01V|Are they.
PS01U|Just run a thing across it.
PS01V|Oh.
PS01T|Oh aye.
PS01U|It's right easy to do And it's long play as well.
PS01V|Is it Mm.
PS01U|You can put a four hour tape on and put it.
PS01V|Yeah.
PS01U|on long play and it lasts us eight hours.
PS01V|Yeah.
PS01U|It's good in n it It were only two hundred pound.
PS01V|Crikey That's not bad then is it.
PS01U|No No It's a lovely thing.
PS01V|But I could one of Dolstars for hundred couldn't we I'm sure that was two hundred and fifty round here.
PS01U|That one's attached to that He is.
PS01V|Yeah.
PS01U|He is.
PS01V|Yeah.
PS01U|I know she.
PS01V|He says when yo he says when you're er and what were it like No good.
PS01U|Well it yeah it was But it.
PS01V|Was it.
PS01U|didn't last long as Hitachi.
PS01V|No.
PS01U|Andrew's got another.
PS01V|He says.
PS01U|one now.
PS01V|He says when you've had a er video about seven years.
PS01U|Mm.
PS01V|he says you know th they're about ready for renewing or parts.
PS01T|Yeah.
PS01V|renewing didn't he.
PS01U|Well when he came out I thought it were er tape heads that had gone.
PS01V|Mm.
PS01U|And anyway he says no he says it's not it's the motor.
PS01T|Yeah.
PS01U|Cost me thirty quid a new motor and summat else.
PS01V|Mm.
PS01U|Never had new tape heads in.
PS01V|You haven't.
PS01U|No.
PS01V|No.
PS01U|He just cleans them up every time he comes out either.
PS01V|Mm.
PS01U|to see to the telly or video you know.
PS01V|Mm.
PS01U|And er I says to him I says you know wha what do you think Do you think it's worth doing.
PS01V|Mm.
PS01U|He says it's a brilliant set this.
PS01V|Did he.
PS01U|That's what he said Yeah.
PS01V|Mm.
PS01U|Says definitely worth.
PS01V|I think the.
PS01U|spending thirty pound on.
PS01V|I think the Hitachi are are good aren't they.
PS01U|Yeah.
PS01V|You know.
PS01U|video's Hitachi.
PS01V|It's the same as erm th.
PS01U|The they were a bit dear.
PS01V|Yeah.
PS01U|I think they're about three nine nine but they were.
PS01V|Yeah.
PS01U|dearer anyway then.
PS01V|then yeah.
PS01U|originally weren't they.
PS01V|Yeah.
PS01U|You know the.
PS01V|But even in Millers we went and looked there was supposed to be a sale on they're not much reduced are they.
PS01U|Yes And cos I went through.
PS01V|Did you And they were over.
PS01V|three hundred pound.
PS01U|I know I think it's dear in Millers.
PS01V|Yeah It is.
PS01T|They must th they must think you're thick I mean we used to get.
PS01V|Yeah.
PS01T|all our stuff from Millers didn't we.
PS01V|Yeah there's yeah we have had a lot.
PS01U|They're ever so dear now They're opening that big place.
PS01V|Yeah we have had a lot.
PS01U|it's not a family business any more.
PS01V|No We've had a lot of stuff from Millers.
PS01T|Yeah.
PS01V|Got our er microwave from Millers didn't we.
PS01T|Got the microwave.
PS01V|We got we got.
PS01U|And I got.
PS01V|televisions from Mi Millers didn't we.
PS01U|Ah well I got my freezers from Millers and I got my fridge.
PS01V|Er I know that was from Millers.
PS01U|And they are really.
PS01T|Fridge.
PS01U|dear now.
PS01V|Yeah.
PS01U|Not like it used to be.
PS01V|Yeah.
PS01T|Telly.
PS01V|In fact I looked at Currys' prices cos Currys' were a and Currys looked as if they were the cheaper.
PS01U|Mm.
PS01V|er I know that turbo power er hoover it was a.
PS01U|Mm.
PS01V|hundred pound.
PS01U|Do you know er.
PS01T|But Currys were always de dearer than Millers.
PS01U|Different people who you speak to though Joyce.
PS01V|Yeah.
PS01U|not just round here but er asking and like I've had our.
PS01V|Yeah.
PS01U|Kim's husband Ian th when they were shopping round for different things and.
PS01V|Mm.
PS01U|you can hear them and that's where your thingybob were.
PS01V|yes.
PS01T|Mm.
PS01V|I'll give them a ring.
PS01U|I know our erm er Dean our paid.
PS01V|Apart from that you can get on weekly can't you there.
PS01U|he's paid twelve hundred pound for this erm camcorder.
PS01T|Yeah.
PS01U|and er I think it were about fourteen fifteen hundred different places He went to Comet and it were fourteen hundred.
PS01V|Mm.
PS01T|Mm.
PS01U|You know and he's got it from.
PS01T|But Comet's Comet's gone I noticed that's.
PS01V|I said ours is I might just.
PS01T|that is a smaller smaller shop.
PS01V|give it him.
PS01U|Mm.
PS01T|now it's got big shops they're they're to they're top of the range and all now They used to be.
PS01V|Yeah.
PS01U|Anyway there's a advertisement in there for Grays at Bentley and it were funny because Jack and Sherry who we were talking to yesterday they said that shop in Bentley didn't they.
PS01U|Yeah well they're just a family business.
PS01V|Yeah And it said it's a family business.
PS01U|Yeah.
PS01V|And it said at prices we can a you can.
PS01U|Yeah.
PS01V|afford.
PS01U|Yeah They'd so they'd sooner.
PS01V|Yeah.
PS01U|make twenty pound rather than lose order.
PS01V|Yeah.
PS01U|You know.
PS01V|Yeah.
PS01U|When it's a business like that.
PS01V|Mm.
PS01U|So erm.
PS01V|So er I might I might give our Mark a ring and see what he's got in there.
PS01U|Mm.
PS01V|Oh Might go and see him a shall we go right through to our do you think that Mark can be closing next week.
PS01T|Well it's pa parking there int it.
PS01V|Well you can park in front of Iceland er I can always go.
PS01T|Oh aye.
PS01U|Got ta pay.
PS01T|That's what.
PS01U|about two quid to go and park there you might as well ring him.
PS01T|Cos we'd have to to go and pa go and park in here like And.
PS01T|and it costs us a bloody bomb.
PS01U|It does Costs you about ten pound do it.
PS01T|Yeah Mind.
PS01V|It's not free parking at all.
PS01U|Mind you you've got the stuff haven't you So.
PS01T|Ah but what it means I've got to walk around and look at it this and look at it that Well we could do with some lollipops couldn't we Some chocolate lollipops and what have.
PS01U|Are the kids coming.
PS01T|Mind you it's er.
PS01V|No.
PS01T|two or three two month in n it yet.
PS01V|Yeah They'll not be co they're not coming for at all at the beginning of April and that's if it's not that long It's er February March.
PS01U|Mind that's when.
PS01V|Yeah.
PS01U|we have baby int it.
PS01V|It's quite.
PS01U|April I can't wait.
PS01V|Oh Is it April.
PS01U|Mm.
PS01V|Oh Er.
PS01U|April nineteenth it'll be well that's Easter int it.
PS01V|Oh Oh.
PS01U|Easter.
PS01V|Mm.
PS01U|So we'll be up there for Easter.
PS01V|Yeah Yeah.
PS01U|Could have a party of your own.
PS01V|Oh yeah April April erm.
PS01V|Easter's late this year int it.
PS01U|April the nineteenth.
PS01V|Sevent.
PS01T|Mm.
PS01V|Nineteenth yeah Cos after our er.
PS01U|That.
PS01V|caravan site don't open till then you know.
PS01U|Don't it.
PS01T|Yeah.
PS01V|No It don't open till that weekend.
PS01U|Used to be always the first of April.
PS01V|Open the first of April Yeah Yeah.
PS01U|Mm.
PS01V|Yeah.
PS01T|And well it were early one year March last year wasn't it.
PS01V|March.
PS01U|Yeah it was earlier.
PS01V|Yeah.
PS01U|it was earlier still.
PS01T|Yeah the last year.
PS01V|Yeah.
PS01U|Cos well if Easter's early they open early don't.
PS01V|Yeah.
PS01U|they.
PS01V|But erm.
PS01U|They must open for Easter then.
PS01V|Yeah they do.
PS01U|So that's it then.
PS01V|Yeah.
PS01U|Easter's late they're opening late.
PS01V|Yeah I know it always used to be the first of April though.
PS01U|Yeah God.
PS01V|But erm I mean caravan season it goes quick enough don't it I mean most places open in March.
PS01T|Yeah.
PS01V|You know like all of Skegness.
PS01U|Well some I know.
PS01V|They're.
PS01U|But.
PS01V|all open in.
PS01U|Yeah.
PS01V|March.
PS01U|Mind you cost them.
PS01T|Yeah and the week afterwards.
PS01U|cost them a lot dun n it Cost them nearly about a thousand.
PS01T|And a fortnight afterwards.
PS01U|pound for Skegness now you know.
PS01V|Yes.
PS01U|It's a lot of money.
PS01V|It is.
PS01T|Yeah.
PS01V|And all the ones.
PS01U|Booking.
PS01V|in er oh all different rates What they actually charge.
PS01U|And er I know they want over a hundred pound just for a caravan for a week don't they At Skeggy.
PS01V|Two hundred.
PS01U|Yeah They need it.
PS01U|though really don't they.
PS01V|Well it depends how much Yeah.
PS01U|Cos our Darren he said like he says I want to that babe like they won't go abroad this year with having baby coming.
PS01T|No.
PS01U|and he says they'd really like to go in a caravan he says to show.
PS01V|Mm.
PS01U|that we've had holiday like you know.
PS01V|Yeah Just to have a break.
PS01U|Yeah.
PS01V|Mm.
PS01U|Anyway er so I said well you can come down home like He says yeah but then you come down home and like they have to go visiting everybody.
PS01V|Mm.
PS01U|Do you know what I mean He says.
PS01V|It's not a rest is it.
PS01U|He said it's not a rest.
PS01T|No.
PS01V|No.
PS01U|And er anyway I says Darren I said they're wanting about two hundred and odd pound for a caravan you know Now.
PS01V|Mm Mm.
PS01U|So I says an I says you're working I said.
PS01V|Not at they're not though.
PS01T|Oh no.
PS01U|and I says why don't you no but like.
