KBBPSUN|Ooh my eyes are getting really bad.
PS03T|but I think a lot of those about they get astronomical.
PS03S|they they also there a dangerously expendable on that corner of.
PS03T|mm.
PS03S|that shelf wouldn't they.
PS03T|mm you'd of knocked them down.
PS03S|er you you'd of knocked them down wouldn't ya.
PS03T|you would have or I would have.
PS03S|yeah.
PS03T|you going to make us a cup of tea.
PS03S|I will if you so desire.
PS03T|those chocolates have made me sick take them out of this hot room.
PS03S|what the chocolates.
PS03T|mm put them in the pantry.
PS03S|I thought you were going to put them inside here.
PS03T|no I've had too many I feel sick.
PS03S|I've eat er four some.
PS03T|well there the sort that you only want about a couple at a time at the most.
PS03S|well one one a day I should of thought How.
PS03T|I don't want any thing in me tea.
PS03S|no.
PS03T|I put all the things ready.
PS03S|what you say.
PS03T|I put all the things ready but use the tea in the old empty the old lot out before you fill it up I put the packet there ready to open.
PS03S|Don't knock your tea over.
PS03T|I shan't.
PS03S|have you done it.
PS03T|yes.
PS03S|you know what's happened in to get in free er this was around there.
PS03T|oh they were cos he got a guarantee slip with it.
PS03S|do you.
PS03T|yes oh you bound.
PS03S|get in free now.
PS03T|that's why it was a bit difficult at first to break down.
PS03S|are they gon na give it us then when they've got it.
PS03T|of course they don't silly they made about twelve pounds or they were I don't know what they are now.
PS03S|I seemed to remember you know when my school was about.
PS03T|mm.
PS03S|I seemed to remember he had one and put it at the back of one of his chairs and.
PS03T|I don't remember.
PS03S|there's something on the radio and I were commenting on it and then he all of a sudden he played it back oh er it was about then probably.
PS03T|oh oh I know that.
PS03S|probably not as good as.
PS03T|no there not the same sort they were bigger a few years ago I wonder he's getting on.
PS03S|probably dead most of the people we know are dead aren't they.
PS03T|well you know Gillian the couple who lived next door who went to live at Burnley.
PS03S|mm.
PS03T|she kept in touch with them for some time but er I've not seen her for a year so I wouldn't know I feel hot now do you.
PS03S|No I'm just right.
PS03T|shall I put this fire out.
PS03S|yeah alright.
PS03T|I shall get too hot.
PS03S|we shall all end up in the same place.
PS03T|mind you not that I'd lite the fire not the glow that's what you did one night put the.
PS03S|yeah.
PS03T|out.
PS03S|yeah if er.
PS03T|and er left the fire on all night oh.
PS03S|if if there's any thing after life do you reckon Hitler's managed it.
PS03T|no doubt it Well if Bill had come today.
PS03S|mm.
PS03T|if we'd of asked Bill I don't think he would of liked to of come.
PS03S|he would of come yeah.
PS03T|not in the frost.
PS03S|or George for that matter it was.
PS03T|I'll ring him up today.
PS03S|okay I I get forecast.
PS03T|well that's what I said to you but we didn't want to er visit again this weekend did we with last weekend.
PS03S|no.
PS03T|having Madge and Tom.
PS03S|well Tom's his own he can come one day if he wishes.
PS03T|yes but I was gon na say er he wouldn't of come any way in the fog.
PS03S|no he doesn't seem bothered about electrics does he erm tapes and things.
PS03T|he doesn't do the electrics.
PS03S|tapes and things.
PS03T|well I don't know he's got a a record player.
PS03S|oh.
PS03T|that it well he that his son Phil taped.
PS03S|tapes them for him.
PS03T|tape them well tape them for Marg I don't suppose he's done any since Marg died no.
PS03S|mm.
PS03T|they bought it for Marg when she was ill and Phil taped you know a lot of his records and some of Marg he'd got and that was it I suppose that's what sort Bill plays now.
PS03S|why he didn't.
PS03T|You can fill my tea up.
PS03S|he didn't he didn't seem to me to be er a mus.
PS03T|not too much sugar.
PS03S|a musical sort of chap does he you.
PS03T|well I think he likes never give him a a chance when he's here.
PS03S|why's that.
PS03T|too much gabbing.
PS03S|that so.
PS03T|never stops talking I want it filling up not washing up.
PS03S|what you say.
PS03T|I want the cup filling up I thought you were washing them up.
PS03S|no I was washing the.
PS03T|no I want I want another cup please.
