KBBPSUN|I think it was taken in the July fortnight.
PS100|Well I thought the dado would make a change.
PS03S|Yes.
PS100|you know.
PS03S|It is nice isn't it Of course it's purple.
PS03T|Yeah it's beautiful And that's lovely.
PS100|And we're doing the top as well.
PS0YY|To the very end.
PS03S|I like your skirting board er er changed round.
PS100|Yes it's a nice change.
PS0YY|You like it It looks nice don't it.
PS03T|Beautiful Yes you've made a good job of it.
PS100|Nice bit of wood that.
PS03S|Yes there's a Kath.
PS0YY|Yeah.
PS03S|Well this is alright but we're only doing it for the beneficiaries int you.
PS0YY|Yeah I know.
PS100|What then.
PS0YY|I i it's so it's something to think about isn't it.
PS03S|They'll say.
PS0YY|You've got ta live with it.
PS03S|Look at that horrible side table It were alright you know so much.
PS100|We've got to live with it and.
PS0YY|Yeah.
PS03T|Yes I'll be taking him ho have you er had your carpet cleaned.
PS0YY|No.
PS03S|Ah.
PS03T|It keeps well doesn't it.
PS0YY|Yes It's only been cleaned once since I've had and it's been down er since nineteen.
PS100|Well what's your verdict then.
PS0YY|seventy four.
PS100|What's your verdict.
PS03T|Yeah that looks alright Yes.
PS100|Yeah.
PS03S|You know what I think er th we've been talking about it round about and I says you know they were wondering if it was a bit suspic I said no th they worry to death there's our children who speaking like the nig-nogs.
PS0YY|Yeah That's right.
PS03S|Did you mean this.
PS03T|Yes.
PS03S|I reckon that's what it is.
PS0YY|Well it is.
PS100|Quite right Arth.
PS03T|No we well I think it's the.
PS0YY|It is to do with that isn't.
PS03T|Yes.
PS0YY|it.
PS03S|Yes Yes.
PS0YY|In the dictionary and.
PS03S|Yes.
PS0YY|there's what.
PS03T|Yeah.
PS0YY|vocabulary is being used in.
PS03T|Yes.
PS0YY|present day.
PS03T|Yes.
PS0YY|that's what it was.
PS03T|Yes.
PS100|That's right yeah.
PS03T|Mm Is that.
PS100|Probably is.
PS03T|a new cabinet you've made.
PS0YY|No We made.
PS100|No We've made that that.
PS0YY|We made many years ago.
PS03T|Looks nice doesn't it.
PS0YY|Oh Sa.
PS03S|Do you replenish the glasses though Are they for show.
PS0YY|What the glasses.
PS03T|Glasses.
PS0YY|Erm.
PS100|Oh we use them.
PS03T|Oh.
PS0YY|We broke we've broke one.
PS03T|they keep breaking though.
PS100|We use some for I'll tell.
PS0YY|We broke.
PS100|what it's for if you want one.
PS0YY|one of these erm one of those green ones we broke.
PS100|But that's all Yeah.
PS0YY|That's all we've broken really.
PS03T|Mm.
PS03S|Have you got a glass.
PS0YY|Yes.
PS03S|Oh Oh I didn't know that.
PS100|Ooh it's all on there.
PS03S|That's supposed to be.
PS0YY|Er well we want Penny to Penny's not coming today had to.
PS03S|supposed to be test that is.
PS0YY|go to Nottingham on a course.
PS03T|Mm.
PS0YY|Mandy's in Derby.
PS03T|Mm mm.
PS0YY|for week and er.
PS03T|Does she stay in Derby I thought she was.
PS0YY|Oh no.
PS03T|travelling daily.
PS0YY|Daily Daily.
PS03T|On the train.
PS0YY|On the train yes.
PS03S|Did you buy these.
PS0YY|And erm.
PS03S|The.
PS0YY|And no now next week she's got to go Leeds.
PS100|Oh no I found those other chairs the side yeah.
PS03S|It's just right.
PS03T|She likes it then.
PS03S|for the.
PS0YY|Ooh yeah.
PS100|I still like the cabinet though.
PS0YY|yes.
PS100|myself.
PS03S|Yeah.
PS0YY|But she's still planning.
PS03T|But they must know.
PS100|you know I like the that way but.
PS03S|Mm.
PS100|this is ever so.
PS03T|Yes.
PS03S|Yeah It is.
PS100|Oh Yeah.
PS0YY|Oh yeah They have to work.
PS100|But still.
PS0YY|you know quite But I'd wished I'd I wish I'd have got those photographs to show off.
PS03T|Oh the er.
PS0YY|photographs that er.
PS03S|Cow bell was that.
PS0YY|that Joyce had taken.
PS100|Oh yeah.
PS03T|What what did Mandy.
PS0YY|Er no Mandy and Neil She's studying photography at night school.
PS03T|Mm.
PS0YY|and she's took a whole lot of Mandy and Neil They're beautiful.
PS03T|Oh this lady.
PS0YY|It's.
PS100|Yeah.
PS100|Lovely pictures.
PS0YY|Mandy's boyfriend's mother.
PS100|Really well done.
PS03S|Are they all portraits.
PS100|Super.
PS03S|Yeah.
PS0YY|Er Mandy had one taken for.
PS100|How's your car doing alright.
PS0YY|Penny's birthday.
PS03S|Oh yes Evelyn said don't it run well I said at eight years old it should do but it.
PS03S|Not bad for eight year old is it.
PS0YY|Shall I go and put the kettle on.
PS03T|Well if you like that Er if I have coffee in the morning.
PS03S|I didn't wan na come out cos of the salt though.
PS0YY|I do sometimes.
PS03T|Erm.
PS100|Yeah Well I.
PS03S|I if it had.
PS100|It's not bad yet is it.
PS03S|No.
PS100|There's not too much down.
PS03S|They throw all the bloody salt.
PS0YY|Yeah.
PS03S|out when there's no ice.
PS03T|Do you always have coffee.
PS0YY|We always have.
PS100|Oh yeah.
PS03T|coffee round about ten.
PS03S|As soon as you fix cos er as soon as you fix your car.
PS03S|it starts to work.
PS100|Yeah Yeah.
PS03S|And the bloody Er found out that on these motorways the bridges were ro collapsing because the iron work with the salt from the road were it wouldn't you have thought.
PS100|Oh I know.
PS03S|they'd have thought of that.
PS100|Well all er.
PS03S|Yeah the the salt's getting down to th and it's all running riot.
PS100|All hindsight isn't it.
PS03T|They're your grandchildren.
PS100|Oh That's a long time ago.
PS03T|Yes I was going to say they're growing up now aren't they.
PS100|Yes.
PS0YY|Arthur would you like a cup of coffee.
PS03S|Er no thank you.
PS0YY|You sure Would you like to have it.
PS03S|Well my waterwo if I start drinking and then I'll want to go and if I can't go.
PS0YY|Well we've got two toilets.
PS03S|Oh I know but.
PS0YY|Well we've got to go to.
PS100|Well you don't want a you don't want a sherry then.
PS03S|No if I get round so.
PS0YY|Have a sherry then.
PS03S|I'll perhaps want to go and then I've got ta go up then.
PS03T|We've got to go and get some potatoes.
PS03T|And er then to Sainsburys to do the shopping.
PS03S|I reckon you get like that in old age Vince.
PS0YY|Well er Madge to have her hair done yesterday.
PS03T|Mm Oh Wednesday yes.
PS0YY|Yeah she's had it permed.
PS03T|Mm.
PS100|Some of the men were on.
PS03T|Is that the new idea.
PS03T|Yes.
PS03S|No well I wanted to get back like.
PS100|We do have some seats you know.
PS03S|Yeah.
PS03T|Mm.
PS0YY|I like the the vase you brought me.
PS03S|Yes but you've got ta sit down in the end so.
PS03T|Well have you got anything to hold that That's er.
PS100|Oh yes.
PS03T|we've got a pair like that Ooh You know that teapot we had on our Welsh dresser.
PS0YY|Yeah.
PS03T|Some man came.
PS03S|Oh.
PS03T|round well came round earlier in the year we sold him bits.
PS0YY|Oh.
PS03T|Ten pounds.
PS03S|Ah he'd got a.
PS0YY|Ten pounds for that old.
PS03S|For tha that.
PS0YY|teapot.
PS03S|that tea that you know ten.
PS03T|I remember.
PS03S|pounds.
PS03T|It didn't really match the things on our Welsh dresser He said I'll give you ten pounds for that.
PS03S|Mm.
PS03T|So I said you might as well.
PS100|Might have been worth a thousand.
PS03T|I doubt it.
PS0YY|Do you watch the Antique.
PS03T|Well I.
PS0YY|Roadshow.
PS03T|Yes.
PS100|it's too.
PS03S|I I don't know what deciding though I says funny enough I said there were one just like this at Millaires and I didn't qualify where it was but it he latched on to it and it's er a posh place you know Millaires.
PS0YY|Mhm Yeah Mhm.
PS03S|one of these historic.
PS03T|Yeah.
PS0YY|Mhm.
PS03S|and only like a village but er.
PS03T|Yeah.
PS03S|very old see I said there one in antique shop exactly like that but I said but it were cracked and they wanted twenty six pound for it.
PS0YY|Mm.
PS03S|I said I don't know whether it's they've sold it As soon as I said that he said I'll give you ten pound.
PS03T|He went anyway and I thought we might as well.
PS03T|have the ten pound.
PS0YY|Yeah.
PS03T|Because i it was we've got too many bits on the Welsh dresser anyway.
PS100|Well yeah well yes if you've got er But I suppose.
PS03T|Well I couldn't.
PS0YY|Well I I.
PS03T|get my wedding ring on I.
PS0YY|Yeah Oh.
PS03T|er.
PS03S|Oh you sold him some.
PS03T|Still.
PS03S|bi bits of rubbish.
PS0YY|Ooh it's a bit wonky int it.
PS03T|Well I think well it is anyway I mean I've got a swollen wrist.
PS0YY|Mm.
PS03T|It's by the time I could get my gloves on It's swollen.
PS0YY|It's swollen there isn't it.
PS03T|there.
PS0YY|Yeah.
PS03T|That's where it hurt most the thumb.
PS100|Yeah.
PS03T|And that.
PS100|You know that.
PS03T|and that.
PS100|you just.
PS03T|third one.
PS0YY|Mm.
PS03T|It never hurt on the arm It does sometimes now.
PS03S|Did you see the football match last night.
PS100|No.
PS03S|A footballer done the same thing And this morning.
PS03T|We only switched the last few minutes on.
PS03S|and this morning on the news said he's broken it they said.
PS03T|Broken there.
PS03S|a dislocated so so shoulder.
PS03T|Shoulder.
PS03S|said there is the a surgeon in the er audience.
PS03T|Orthopaedic one yeah.
PS03S|But er this morning they said it's a broken wrist I said he's done what you do put his fist out to hold him.
PS03T|Yeah.
PS03S|and.
PS100|For for.
PS0YY|Mm.
PS100|support.
PS0YY|Yeah Yes it's er.
PS100|I know.
PS0YY|it's still swollen now int it.
PS03T|Yeah Yes.
PS0YY|And your fingers are.
PS03S|Ooh yeah.
PS0YY|aren't they Ooh Ya.
PS03T|Mind you they said they.
PS03T|yeah well a bit on the other hand And that wrist is.
PS0YY|Ooh yes.
PS03S|A bit like I like all this a.
PS0YY|And you're using it now are you.
PS03T|Yes A bit.
PS0YY|Yeah.
PS03T|Yes.
PS03S|I like all this and that bit but she has er you end up to go on the dirty little foxes and you get on and there's so runny nosed yobbo kid about twelve gets on.
PS03S|and sits on his foot.
PS100|On his bottom.
PS0YY|Yeah.
PS100|Oh aye.
PS03T|Yeah.
PS0YY|Oh yeah Oh I've seen that.
PS03S|But yo and you're in.
PS0YY|Yeah.
PS03S|your best sort of coat.
PS100|They only ever care if it's.
PS03T|Yes Mm.
PS03S|Well why do they sit on their foot for.
PS03T|Well they do don't they.
PS100|Oh yeah.
PS03T|Well pull your scarf on then.
PS03S|Did you hear this morning's news Kath.
PS0YY|Pardon.
PS03S|Did you hear this morning's news.
PS0YY|No.
PS03S|The er erm.
PS03T|Don't you have the news on in the morning.
PS100|No.
PS03S|er.
PS100|Well I well I.
PS03S|what do they call.
PS100|in the morning.
PS03S|what do they call these mountain bikes Mountai I don't what they're called.
PS03T|Mountain bikes aren't they.
PS100|The mountain bikes.
PS03S|Two lads went up to them and says get off that bike or we'll pull you off He got off and they went off with it.
PS0YY|He left it.
PS03S|And it's a brand new mountain bike.
PS0YY|Yeah Well Amanda er.
PS03S|Just like that.
PS0YY|Neil's had his stolen you know.
PS03S|No But just like that And they.
PS0YY|Yeah well it it was locked up in the shed and the shed was.
PS100|You're not safe anywhere are you really.
PS0YY|locked.
PS03T|Mm.
PS0YY|And then er he he claimed and he go he had a new one.
PS03T|Oh.
PS0YY|and then er they they found it at the polic the police station.
PS100|They found one didn't they.
PS0YY|well somebody found it down by the river just at the back of where they live so it must have been somebody round about.
PS03T|Mm.
PS0YY|who had it.
PS100|Just watch them getting.
PS0YY|Mm.
PS100|it here and.
PS0YY|Yeah so.
PS100|nothing at all safe.
PS0YY|Maggie's got it now but nobody uses it.
PS03S|Well that's alright Kath you see.
PS0YY|No nobody uses it.
PS03S|but er.
PS03T|Well the kids round our way they have bikes but they never go anywhere on them just take to go and do a paper round.
PS03S|well you take a two hundred and forty quid.
PS0YY|Mm.
PS03S|bike and.
PS100|Mm.
PS03S|then they'll come on this morning if you have half a pint of beer you're over the odds you'll be pinched.
PS100|Mm.
PS03S|And when you think that his bike be more important.
PS100|Yep.
PS03S|than me having half.
PS0YY|Than you.
PS03S|a pint of beer.
PS0YY|Yes it was eight.
PS03T|I'm waiting for a new one.
PS100|We want a new one.
PS0YY|In fact having a new one.
PS03T|Nice.
PS0YY|It's permanently like that It's been.
PS03T|Oh is it.
PS0YY|sitting there shuffling my feet.
PS03T|Oh is it Oh.
PS100|It's er.
PS100|bit of arthritis in it I think in the rug.
PS03T|In my rug yeah.
PS100|Or ruggitis in it.
PS03S|Oh dear.
PS100|Well it's gon na be nice.
PS03S|Yes it is yeah.
PS03T|Yes th I'm glad.
PS100|Yeah.
PS03T|we came out.
PS03S|There's a lot of wet though in the country roads.
PS100|Oh yeah.
PS03T|Where do you go shopping Tesco.
PS100|Tesco yeah.
PS03T|Er only been there two or three times and we had miles to walk to the shop.
PS100|Ah.
PS03T|We went on one car park and we couldn't find it.
PS100|Ah Well we park right beside it.
PS03T|Well I know you can now.
PS100|Yeah.
PS03T|we ought to have driven.
PS100|Lovely.
PS03T|driven round until we had found it.
PS100|Well yeah there's four car parks you see.
PS03T|Yes I know well we we must.
PS100|So th.
PS03T|have parked parked on.
PS100|Yeah.
PS03T|the one furthest.
PS100|Yeah.
PS03T|away.
PS100|That's a good picture int it.
PS03S|Yeah we suddenly saw it.
PS03T|Well I'm glad you said it.
PS03S|in.
PS100|Very good that is.
PS03T|I know.
PS100|Nice to have isn't it that.
PS03S|Yes.
PS03T|Ah well they were down in the garden we said.
PS03S|They were offering it around.
PS03T|oh we might.
PS100|Yes.
PS03T|as well.
PS03S|Look at my birds though That's a giveaway int it.
PS03T|All all the pigeons and all the.
PS03S|The bird there.
PS100|Yeah.
PS03T|I think.
PS100|Yeah.
PS03T|it was taken last July fortnight because Jackie and Tom were away and that.
PS03S|Mm.
PS03T|bit was all.
PS100|Oh.
PS03T|bit dried up.
PS100|Yeah.
PS03S|That's that car that was smashed up you saw.
PS100|Yeah.
PS03S|That's before it was smashed up.
PS100|But before that's.
PS03S|Yeah.
PS100|they the same.
PS03S|Look in that garden look.
PS100|Yeah.
PS03T|They have two gardeners comes round.
PS100|Oh yeah Yes yours looks good.
PS03S|Mm.
PS100|Really lovely aren't they.
PS03S|That one's alright but i it's it's all grey look Dried up like.
PS100|Yeah that And i is this the house that's got the extension on Is that one or the one o over the road.
PS03S|No that you mean near the back of the gardens.
PS0YY|Mm.
PS100|Ah.
PS03S|That's the one.
PS100|Oh that's oh course it is That's the back yeah.
PS03T|That's the back yes That's the back.
PS100|That's right Yeah.
PS03S|Hey You see this but she said ooh I've had didn't tell you I've had the burglars I said what's the matter with your lad's wrist She says he's er he's fell over in the you know and er he he's al he were always running he gets on left side onto us runs to this corner calls out to the missus.
PS03T|He did.
PS03S|look see that one there that one there.
PS100|Oh yes.
PS0YY|Yeah.
PS03S|he were running up and down the little bugger.
PS03T|Look at that.
PS03S|Trying to fall You can't beat them you know they know all the.
PS0YY|Oh They know.
PS03T|Oh.
PS0YY|all the answers.
PS100|I know.
PS0YY|don't they All the tricks of the.
PS100|They know the.
PS0YY|trade.
PS100|They know exactly how to re.
PS0YY|And if they don't know there's somebody to advise them.
PS03S|Yes.
PS03T|Yeah.
PS100|They'll know exactly.
PS0YY|Well.
PS100|how to run the country.
PS0YY|and they.
PS100|shortly.
PS03T|We were er grumbling about that his wrecked being outside He'd somebody advised him because if it hadn't got a license number plate on.
PS100|That's it.
PS0YY|Mm.
PS03T|it couldn't it shouldn't have been left out there.
PS03S|Ah.
PS0YY|Mm.
PS03T|He had taken a le he had a taken a license off he'd got his money back on his license.
PS100|Mm Oh.
PS0YY|Mm.
PS100|He's done it before has.
PS03T|Still on but he's had it taken he had it taken away last week.
PS100|Ah.
PS03S|Mm.
PS03T|Mm Whether.
PS03T|somebody cottoned on or.
PS100|Ah.
PS03T|I don't know but.
PS100|But you sho.
PS03T|somebody had told him that.
PS100|It must be taxed if it's on.
PS03T|According to.
PS100|the road.
PS03T|Ye well that's.
PS100|Yeah.
PS03T|what Jackie on the end the road said.
PS100|Even if it's standing on the road.
PS03S|I do it looks blue if you turn it somewhat.
PS0YY|Yeah.
PS03T|Yes it does.
PS0YY|It does Yeah.
PS03T|Yeah.
PS03S|Except it lo it looks black.
PS03S|there Look there in the.
PS100|Yes.
PS03S|shade.
PS100|Yeah you got a bit.
PS0YY|Yeah you can tell it's blue Oh yes it's in the shade.
PS100|The sun shining on it.
PS03T|isn't it.
PS0YY|Yes You can just see it.
PS100|See it.
PS03S|Just see it yeah.
PS0YY|Yeah.
PS03S|See that park's black and yet it's that blue.
PS0YY|Mm.
PS03T|Mm.
PS0YY|Yes.
PS03T|Yeah Come along then.
PS0YY|Mm.
PS03T|If we've got to get to.
PS03S|The part I like.
PS0YY|Lovely that.
PS03S|The that one who's had the factory built look at his front garden.
PS100|And how many did they do the whole estate or.
PS03T|Well he's done a lot because we were on the bus on Tuesday and er couple who live in which is one of those roads up.
PS0YY|Yeah.
PS100|Aha.
PS03T|er she said that they'd been to the said this man had been to her house.
PS0YY|Oh.
PS03T|And but they wouldn't buy it Yes.
PS03S|That was the windows you can see.
PS03T|Well Madge.
KBBPSUN|Well I.
PS03T|can't see er can't see really can you.
PS03S|And you're getting a reflection.
KBBPSUN|No I can't see this.
PS03S|from these.
KBBPSUN|Mm Ooh I say.
PS03T|I know.
KBBPSUN|And this is all.
PS03S|I know what it I know what it costs for that sort of wood And.
KBBPSUN|Yeah.
PS03S|the framing.
KBBPSUN|Yeah.
PS03S|Yeah.
KBBPSUN|Yeah It's lovely.
PS03S|Perhaps if you don't have a reflection you see better.
KBBPSUN|I I can't.
PS03T|No Madge can't see.
KBBPSUN|I really can't no.
PS03S|Yeah Well there's jus.
KBBPSUN|Especially this light is the worst.
PS03T|In win.
KBBPSUN|In the winter yo like you know.
PS03S|Yes.
PS03S|Anyway.
KBBPSUN|Ah Ah Ah.
PS03T|We're recording what you say on there You don't mind do you.
KBBPSUN|What's that fo what was that.
PS03T|It's for market research.
PS03S|Er the the.
KBBPSUN|Oh.
PS03S|the ge powers that be are worried about the er.
PS03T|No they're not.
PS03S|English language dying out.
KBBPSUN|Out Oh well yeah.
PS03S|So now they're wrote to us picking them doctors and people like us that are.
KBBPSUN|Well in in each category.
PS03S|people like us that are.
PS03T|A retired couple who.
PS03S|university sort of people.
KBBPSUN|Yeah.
PS03T|Well they're all different No.
KBBPSUN|Yeah.
PS03T|She wants somebody from each.
PS03T|a broad.
KBBPSUN|Yeah Oh.
PS03S|And they want to find out if er this pigeon.
PS03S|English from the.
PS03T|No they don't.
PS03S|this pigeon English is working into the system.
KBBPSUN|Yeah Well I think it is.
PS03S|Well there you see Tom thinks.
KBBPSUN|Yeah.
PS03S|the same.
KBBPSUN|Ooh yes I do.
PS03S|Evelyn she's so dogmatic.
KBBPSUN|A dreadful.
PS03S|Ooh no They wouldn't do a thing like that.
KBBPSUN|All these they want to.
PS03S|It's just this.
KBBPSUN|bring their own.
PS03S|Course they would.
KBBPSUN|and you see.
KBBPSUN|Course they do.
KBBPSUN|of language don't they.
PS03T|Yeah.
KBBPSUN|Look at.
PS03S|Ooh.
KBBPSUN|look at the Americanisms we've got included in the dictionary.
PS03S|Yes Yes.
KBBPSUN|Yeah.
PS03S|Yes.
KBBPSUN|now.
KBBPSUN|Yeah.
PS03S|Yeah.
KBBPSUN|Which weren't in thirty years ago.
PS03S|Ooh they say er the Queen said er she said often for often well yo I thought she'd be well on the.
PS03S|form.
PS03T|Oh Yeah.
PS03S|And they're all saying it now on telly often.
PS03T|Of often.
KBBPSUN|Yeah Alright.
PS03T|Are you cleaning the.
KBBPSUN|Yeah.
PS03T|windows.
KBBPSUN|Yeah.
PS03T|I can't clean windows.
KBBPSUN|Oh I don't do them with a window leather I do them with.
PS03T|Ah ah Windolene.
KBBPSUN|Mm.
PS03T|Sainsburys stuff.
KBBPSUN|Oh I've not wo I get that from oh it's ever so good that is.
PS03T|What's that.
KBBPSUN|I get it from down at the hardware shop It.
PS03T|I've had Sainsburys and everything and the windows.
KBBPSUN|Oh I've had that Tinkerbell and and er stuff years ago.
PS03T|No.
KBBPSUN|The best I've ever had.
PS03T|What's that.
KBBPSUN|It's about a pound Well it was.
PS03T|Mm.
KBBPSUN|the last one I I want another one.
PS03T|With ammonia Ooh mine.
KBBPSUN|Yeah.
PS03T|had got er vinegar in.
KBBPSUN|No You squeeze it on just.
PS03T|Yeah Like I've got.
KBBPSUN|you know.
PS03T|one like that.
KBBPSUN|Ain't done this one yet What is this.
KBBPSUN|Ah.
KBBPSUN|well that bloody bird's been again Oh no it's not it's the.
KBBPSUN|The birds are marking up that window there.
KBBPSUN|Eh.
KBBPSUN|alright.
KBBPSUN|Can see the sun through the windows.
PS03T|Yes he this morning.
PS03S|Ah but you read that.
KBBPSUN|It's er.
KBBPSUN|Yeah.
PS03S|She's been having it off with him.
KBBPSUN|er Sarah.
PS03T|Well that happened two years ago didn't it Eighteen months ago.
KBBPSUN|Sh er.
PS03S|Er did you see the programme.
KBBPSUN|What's that Arthur.
PS03S|of all those sheep being tu treading on each other uri urinating on each other on top of a lorry going to France.
KBBPSUN|No.
KBBPSUN|They want to send them dead but they will have it send them alive And er you know I often think if er the sheep knew what the farmers were up to they'd grow teeth wouldn't they They'd have them all.
KBBPSUN|Well I think it's I think it's terrible.
PS03S|They I mean if they were if they were tigers they wouldn't do it would they.
KBBPSUN|It puts you off eating meat altogether.
KBBPSUN|Does Yeah.
PS03T|Arthur's nearly vegetarian now.
KBBPSUN|We saw one er last night or the night before.
KBBPSUN|Oh aye.
KBBPSUN|and killing pigs.
KBBPSUN|You've got ta think strains of er.
KBBPSUN|pigs so that they just lie there.
KBBPSUN|of fruit vegetables and animals and you know and er.
KBBPSUN|Yeah Ooh It were awful.
KBBPSUN|The the laboratories that created them were.
KBBPSUN|Yeah.
KBBPSUN|Well.
KBBPSUN|Ooh It it were it was awful what was on.
PS03T|That's.
KBBPSUN|the other last night Was it last night.
PS03S|Go to the.
PS03T|No it was.
PS03S|still I expect it does.
KBBPSUN|Yeah it was last night.
PS03T|Did you see the football match.
KBBPSUN|Yeah.
PS03T|Tha well you didn't see much of it did you.
KBBPSUN|Oh no not.
PS03T|We only saw the last.
KBBPSUN|No.
PS03T|few minutes of it.
KBBPSUN|Oh yeah I was.
PS03S|Didn't you see.
KBBPSUN|I was washing some bottles off.
PS03S|Didn't you see the.
KBBPSUN|Started making.
PS03S|Madge.
KBBPSUN|a brew again.
PS03S|One of the footballers did the same as Evelyn He he he leaped onto somebody in the goal mouth where the post was and i he turned on a off the other way in the post and he landed like that and.
KBBPSUN|Oh.
PS03S|and then they said is there a orthopaedic surgeon in the audience.
PS03T|In the crowd.
PS03S|This boy is lose.
KBBPSUN|Oh.
PS03S|he's broke his arm.
KBBPSUN|Chapman.
KBBPSUN|Ah.
PS03T|On his hand it was.
KBBPSUN|Lee Chapman.
PS03S|Yeah.
PS03T|And he's er.
PS03S|Er you know he saved hisself with this er.
KBBPSUN|Yeah Of course you automatically if you're falling you put your hands out don't you.
KBBPSUN|Yeah.
KBBPSUN|to save yourself Yeah.
PS03S|Yeah Somebody told Evelyn they got a she got a thousand pounds for slipping on pavement.
KBBPSUN|Oh Yeah.
PS03S|But you but you got ta prove the negligence.
PS03T|You got ta prove well I I couldn't see.
KBBPSUN|Yeah.
PS03T|anything that I slipped on.
PS03S|No.
KBBPSUN|No.
PS03S|You know why.
PS03T|Not a cabbage leaf or there wasn't orange peel.
PS03S|Madge.
PS03T|so.
PS03S|Your sister's a bit naive Er you look she falls er two or three rush to her the stall holder fetches a chair they're all round her his son's picking up the bit she slipped on.
KBBPSUN|Yes.
KBBPSUN|Course he does.
KBBPSUN|Yes Ooh yes.
PS03S|She'd fallen she'd.
PS03T|But why go to all that Yeah.
KBBPSUN|Ah.
PS03S|But I mean.
KBBPSUN|Ooh yes.
PS03S|that's the way I'd work.
KBBPSUN|Yeah.
PS03T|Yes.
PS03T|That shows how crafty you are then doesn't it.
KBBPSUN|Yeah well I'm not like that I can't I can't.
PS03T|You think too much.
KBBPSUN|you know.
PS03S|I always think now.
KBBPSUN|Oh I don't know.
PS03S|what's the motive.
PS03T|Er yes well.
KBBPSUN|Afterwards then don't you.
KBBPSUN|You know how market people think do you.
KBBPSUN|Well Yeah you do.
KBBPSUN|Mm Er.
PS03S|Yeah so I mean it's horrible what they do to animals isn't it.
KBBPSUN|Oh it is Yeah.
KBBPSUN|Oh It is Pigs they just lie there and get fat Well what's the meat going to be like.
KBBPSUN|Yeah Eh.
KBBPSUN|Yeah And what are we going to be like eating it.
PS03T|Well pork isn't an any now is it.
KBBPSUN|Well No diet in it now.
KBBPSUN|Nothing is it Er and it's hard It never used to be hard.
PS03T|a tender bit of pork.
KBBPSUN|Well it's it used to melt in your mouth hadn't it.
PS03T|Yes.
KBBPSUN|And it don't smell.
KBBPSUN|And all this.
KBBPSUN|the same when it's cooking either.
PS03T|No.
KBBPSUN|does it.
KBBPSUN|Loin of pork.
PS03T|Yeah.
KBBPSUN|you know roasted.
PS03T|It used to be.
KBBPSUN|When our.
PS03T|beautiful.
KBBPSUN|melt in your mouth.
KBBPSUN|when were at home we had to have it every week didn't we.
KBBPSUN|Yeah.
KBBPSUN|Cos they didn't like beef.
KBBPSUN|Didn't like mutton lamb.
KBBPSUN|They like beef now.
PS03T|I don't like.
PS03S|Well you know that.
PS03T|beef.
PS03S|you know that teapot we have on the Welsh dresser like a cockerel.
KBBPSUN|Yeah.
KBBPSUN|Well I've got.
PS03S|Er you get some man come and gave me ten pound for it.
KBBPSUN|What's it going.
PS03T|Yeah He came to get it.
PS03S|We just met him today.
PS03T|Apparently he brought somebody who wa who was.
KBBPSUN|Oh.
PS03T|interested in that little what is it That wa the little.
PS03T|No The little thing on the front in the front That's what he came to see That one you mended the foot of I don't know what you call that little old man.
PS03S|Oh right Yeah they got.
PS03T|He came.
PS03S|that.
PS03T|in a way se he came to look at that.
PS03S|Yeah.
PS03T|But anyway he wasn't interested Then he saw the.
PS03S|He said it were continental something and th.
PS03T|Yeah And then he he saw this Welsh dresser he said I'll give you ten pounds for that.
PS03S|Yeah.
PS03T|And I've got too many things on the Welsh dresser anyway And he didn't leave a card.
KBBPSUN|And they always need dusting don't they.
PS03T|So I thought ooh ten pound Might as well have it.
KBBPSUN|Have it Yeah.
