KBBPSUN|What do you think to the pudding.
PS03S|oh I've got a load of that back of the car.
PS03T|Is this too hot with the fire on.
PS03S|no I'm alright.
PS03T|is that the boiler making that noise.
PS03S|yeah.
PS03T|seems to be louder than usual don't it.
PS03S|or it's your fan.
PS03T|I thought I'd turn the fan on.
PS03S|your fan.
PS03T|I know I thought I'd turned it off I'm going to have a look something seems to be making a noise it was the vent.
PS03S|yeah yeah.
PS03T|I'd put that on as well as the other fan.
PS03S|as the fan the fats congealed with the frost.
PS03T|what on the.
PS03S|you know in the opening and.
PS03T|mm.
PS03S|the fans are catching it How what's the time now.
PS03T|nearly five too five too.
PS03S|oh.
PS03T|stop moaning you know what you didn't have.
PS03S|that there.
PS03T|your medicine before your meal that medicine you're supposed to take before for your chest.
PS03S|that's alright now it's not er it must of been er congealed in the night in the chest.
PS0YX|T is now.
PS03S|she won't agree.
PS0YX|yeah.
PS03S|I the the disturbed at the way the English lads are speaking.
PS0YX|ooh without a doubt.
PS03S|in a way they find out.
PS03T|no I think that it's to get the vocabulary various classes of people and varies age group.
PS03S|yeah but as Les says there's more in it than that.
PS0YX|there's a there's of course the entire speaking.
PS0YX|is getting very bad now in't it.
PS03S|yes.
PS0YX|I brought those all Arthur erm.
PS03S|it's got ta be like that is it.
PS03T|they're the things that's got to fit in no they're not.
PS0YX|and now I think do they just clip on they just clip on.
PS03S|yes they well er see that step only there's erm.
PS0YX|yes I'll just have to stand up.
PS03S|I reckon there's another one the other side perhaps that they.
PS0YX|yes.
PS03S|only just drop on like that don't they.
PS0YX|yes and then the piece sticks out where you just er where it goes on.
PS03S|yeah.
PS0YX|so I don't how'll you how will you do it will you be alright to do it.
PS03S|yeah is it is this one alright is it is it only the one broken or two.
PS0YX|no there's two they're the two pins.
PS03S|they're these are all the bits.
PS0YX|yes.
PS03S|well there's only only enough bit then for I don't.
PS0YX|yes.
PS03S|that's why I shall come up and have a look at.
PS0YX|are yours.
PS03T|don't know.
PS0YX|that stuff what's clipped on yours with your pin.
PS03S|no I'll show you in a minute no.
PS0YX|or are they just er.
PS03T|here you are lets take these.
PS03S|what I think Les I think you should have two walls I don't know I think you should have two walls one either side.
PS0YX|yes ther ther there.
PS03S|then and that.
PS0YX|them split at the end.
PS03S|yes.
PS0YX|where it's on.
PS03S|er right.
PS0YX|see it's split.
PS03T|mind that might be hot.
PS03S|ooh.
PS03T|don't put it on the carpet if it's hot.
PS03S|there it is look.
PS03T|no that.
PS03S|see that spark.
PS03T|don't want sewing up.
PS0YX|yes.
PS03S|see were on a bit of a.
PS0YX|yes I move that metal that comes out and it's split.
PS03S|yeah well what.
PS0YX|is yours split there.
PS03S|no well what.
PS03T|don't stand on it.
PS03S|what I think is this.
PS0YX|oh I see yes I see.
PS03S|hold on a minute Les lets turn these off.
PS03T|mind your going to spray.
PS03T|lets move it away.
PS0YX|underneath in't it.
PS03T|oh we've got one of them light bulbs.
PS03S|oh things come out.
PS03T|to be replaced look one of'ems gone that's why it's dark.
PS03S|er used to any way that wants seeing er I reckon you should have see that lip.
PS0YX|yes.
PS03S|I reckon you should have another lip and it fits that slide on like that.
PS0YX|yes.
PS03S|so you'll I shall have to make one.
PS0YX|yes I wonder if er if you got two bits of thin tin you know.
PS03S|yeah well I and er.
PS0YX|make you.
PS03S|and er.
PS0YX|it just slides on I think.
PS03S|lower that and and you peg stones up like that.
PS0YX|that's right yes.
PS03S|see you can't go out cos that's er and er just pushes on I think.
PS0YX|yes cos the cos cos where's yeah.
PS03S|you see it's very fragile got a.
PS0YX|where it's come off.
PS03S|mm.
PS0YX|it's it's parted the the the the metal fang comes along and then when it gets to the end ere it's split it's split.
PS03S|I you know what that's for for the spring it's split like that in't it.
PS0YX|what yeah.
PS03S|it's split like that.
PS0YX|yes yes the metal yes and it.
PS03S|which is.
PS0YX|clips on there I think.
PS03S|well yeah you open that out to make it tight.
PS0YX|oh I to fasten it on.
PS03S|yeah.
PS0YX|I see.
PS03S|you see you get over the years it probably expands and it.
PS0YX|yes.
PS03S|becomes loose.
PS0YX|ah.
PS03S|so you open that a bit.
PS0YX|yes.
PS03S|that spring.
PS0YX|which is that yeah I.
PS03S|and then.
PS0YX|alright then.
PS03S|you'll have to push it on.
PS0YX|I got it yes.
PS03S|any way I'll make summat to do it.
PS0YX|right thank you you've got the two pins have ya.
PS03S|yeah yeah.
PS0YX|Arthur.
PS03T|Better find a little dish to put them on so you don't wa.
PS03S|well I've got plenty.
PS03T|loose them let me get a dish.
PS03S|I've got plenty of drivers like this.
PS0YX|have ya.
PS03S|yeah.
PS0YX|here's one here and you've got the other one ain't ya.
PS03S|used to drive erm our machine used to drive.
PS0YX|did they.
PS03S|what we call drivers.
PS0YX|yes.
PS03S|about two inch long you know.
PS0YX|yeah.
PS03S|and er they are very fragile.
PS0YX|yeah.
PS03S|they've made it so as it it do you see I I I reckon you ought to open my let me make them in te in steel because er they made them like that so that when you pull them off or adjust them.
PS0YX|yes.
PS03S|they won't burn ya.
PS0YX|no yes.
PS03S|I mean they're like er ha hard plastic.
PS0YX|it is in't it yes it's like it.
PS03T|what are ours.
PS03S|er well metal you see there look.
PS0YX|yeah.
PS03T|well you don't you don't have to make it in plastic do you.
PS03S|well it does it its method is to shove them on.
PS03T|oh.
PS03S|er in or out according to where he wants them to flicker well you see as it as the wearing get hot that plastic expands and become loose and he's got a a split see that steel thing.
PS03T|mm.
PS03S|ours is like that solid well his is split the idea that is you opened it like that so when you push your others on it has to compress it and it holds but over the years it's er the body.
PS0YX|weaked.
PS03T|the body.
PS0YX|yeah.
PS03T|yeah.
PS03S|er er I can make you one in plastic.
PS03T|what.
PS03S|but er.
PS0YX|oh what oh I du n no know er.
PS03T|mm have you had it a few years.
PS0YX|ooh yeah about two the same one in the lounge and one in the in the dining room one's got the convector on.
PS03S|it depends don't it.
PS0YX|the top.
PS03T|mm.
PS0YX|and the two bars and the other one's got the two bars.
PS03T|mm.
PS0YX|yeah they're very good and er funny that one in each has gone.
PS03T|oh oh it's.
PS0YX|you see not the two yes so we've still got one lighting on each.
PS03T|my tubes have gone one out of each pack oh I see you've got one one er er out of each room.
PS0YX|that's right yes yeah yes.
PS03T|I just remembered one of these lights went last night.
PS0YX|did they.
PS03T|I forgot to remind Arthur to er.
PS0YX|yes.
PS03T|to replace it.
PS0YX|yeah yeah.
PS03T|get that one down.
PS03S|yes without go coming up to say and I presume it's like this you perhaps told when I draw it.
PS03T|don't draw on that table too much you'll mark the table.
PS03S|now that's your piece still I assume.
PS0YX|yes coming that way.
PS03S|that way.
PS0YX|yes.
PS03S|now this this is the matter now you your other bit I don't think your gon na see it mate.
PS03T|put that other lamp on Arthur.
PS0YX|yeah.
PS03T|so you can see.
PS0YX|yes.
PS03T|is Eadie resting.
PS0YX|yes yes she'll just have an or orange when I came out she's been I've been getting a few of those it seems to help a bit.
PS03T|mm I always eat plenty of fruit.
PS0YX|yes yeah.
PS03T|Arthur does grapes.
PS0YX|does he.
PS03T|mm he loves grapes and apples.
PS0YX|er.
PS03T|we couldn't bring any apples though yesterday not taking me car with.
PS0YX|ah carrying yes.
PS03T|we get er.
PS0YX|how's the arm going Evelyn.
PS03T|well it's it's still swollen.
PS0YX|yeah.
PS03S|oh her tempers getting the same Les.
PS0YX|yeah yeah yeah.
PS03T|but er I can turn taps and hold things a little bit more.
PS0YX|can you yes I well it's gon na take time for that.
PS03T|not not all that.
PS0YX|to go down in't it.
PS03T|as you you know how you sort of hold want to.
PS0YX|yes.
PS03T|hold things in your left hand.
PS0YX|yes.
PS03T|er it's still not very strong.
PS0YX|is it.
PS03T|no.
PS0YX|mm.
PS03T|but the swellings gone down mostly I've got gloves.
PS0YX|ooh it is it's a lot better yes quite a while.
PS03T|on for the first time yesterday.
PS0YX|Christmas yes yeah.
PS03T|so.
PS0YX|yes.
PS03T|I think I'll go.
PS03S|you can't draw it in yellow cos it don't er take on this so I'm going.
PS03T|you don't have to draw it in yellow.
PS0YX|no no I'll be alright now.
PS03S|if you do them both white it looks all wrong.
PS0YX|yeah.
PS03T|but you've got different colour pencils.
PS03S|now this green is your your yellow.
PS0YX|yes.
PS03S|er there's a slit there ain't there like that keep this still.
PS0YX|yes that's right it's open yeah.
PS03S|well.
PS0YX|oh that's how how it works.
PS03S|now that's that's the wall of your yellows.
PS0YX|yes.
PS03S|broken.
PS0YX|that's right.
PS03S|and that's the other wall which you need to go.
PS0YX|yes as far as I can see with the other one's.
PS03S|yeah.
PS0YX|still on yes.
PS03S|yeah they now looking at end ways it's like this in't it.
PS0YX|yes.
PS03S|that's your your yellow plastic.
PS0YX|that's right it's just on the end.
PS03S|that's it now here's your steel bit that's split.
PS0YX|yes.
PS03S|like that.
PS0YX|yes.
PS03S|so if you open that er steel bit.
PS0YX|yes.
PS03S|wide like that.
PS0YX|yes.
PS03S|wider than what it is.
PS0YX|yes.
PS03S|it grips when you push it on.
PS0YX|that's right.
PS03S|and the idea that is is I see it.
PS0YX|yeah.
PS03S|is you want.
PS0YX|so they will slot it won't they.
PS03S|yeah as I no no not the yellow the the metals slot in.
PS0YX|yes.
PS03S|and the idea is so you you push it down to earth you want it down to there.
PS0YX|in other words you can move it up and down aargh.
PS03S|and I reckon that's it that's broke on your movement you see.
PS0YX|yes.
PS03S|it's these walls have broken off there.
PS0YX|mm.
PS03S|see those two walls.
PS0YX|yes.
PS03S|and that's the bottom bit and that that there's your steel inside.
PS0YX|yes that's right.
PS03S|but these have broken off and of course it's dropped off.
PS0YX|I.
PS03S|so what I'll shall have to make you is a you can either have it in metal or in plastic.
PS0YX|whatever is is is easiest for you Arthur you're doing.
PS03S|well I think it's both easy but er.
PS0YX|yeah.
PS03S|there it's done with plastic so it don't get red hot when you when you adjust it.
PS0YX|yes.
PS03S|but then again you'd be a bit daft.
PS03T|don't suppose you adjust it very often do ya.
PS03S|no but you'll be a bit.
PS0YX|never touched it I haven't.
PS03T|no.
PS03S|you'll be a bit daft to adjust it when it was hot wouldn't ya.
PS03T|mm yeah.
PS0YX|yes but I've never touched them er.
PS03S|if it was mine I'd er I'd er.
PS0YX|I've took these off to to put the bulbs in.
PS03T|mm.
PS03S|for my money I'd have it with all metal.
PS0YX|yes.
PS03S|but that's the i you see the idea of it now can't ya.
PS0YX|yes yes.
PS03S|your yellow bits slides along here to where they were here's your here's your point.
PS0YX|yeah.
PS03S|you can have it there you can have it there you can have it there.
PS0YX|ah ah.
PS03S|by pushing it up and down.
PS0YX|yes.
PS03S|and this gets very hot well fairly hot.
PS0YX|yes.
PS03S|and the plastic soft and broke.
PS0YX|yes I think what I can see of er of what's on the other one on each fire.
PS03S|yeah.
PS0YX|er there right on the end.
PS03T|mm oh I see.
PS0YX|there right to the end.
PS03T|oh Arthur's all always messing about with ours.
PS0YX|is he.
PS03T|to sort of make them go round.
PS0YX|ah.
PS03T|you know unless there's a draft.
PS0YX|yes.
PS03T|they won't always flicker do they.
PS0YX|no no no.
PS03T|he likes fiddling about.
PS0YX|yeah.
PS03S|I've made ours go right and left we've got two.
PS0YX|yeah I've never touched ours much at all.
PS03T|well he's only got on there's one out of each fire.
PS03S|oh we've got two and er.
PS03T|well so has Les got two.
PS03S|on the same fire.
PS0YX|yes.
PS03T|but there's one alright and one broken.
PS0YX|there's four altogether.
PS03S|yeah but oh four well I'd like to.
PS03T|yeah of course yeah.
PS03S|you you see those wings that are going round there.
PS0YX|yes yes.
PS03T|he's got two fires.
PS03S|these.
PS0YX|yes.
PS03S|I turn'em what that that way.
PS0YX|yeah.
PS03S|and this one that way.
PS0YX|yeah.
PS03S|so that one goes to the right and this one goes to the left.
PS0YX|ah ha ha I've nothing never yeah.
PS03T|he he fiddles about with he likes fiddling.
PS0YX|he did tell me though about doing the old pencil in in here in't it.
PS03T|yes.
PS0YX|in here Arthur ain't it.
PS03T|or graphite.
PS03S|or a bit of graphite yeah.
PS0YX|you put the in there in there do ya.
PS03S|just put your.
PS0YX|in there.
PS03S|pencil just put your pencil in and along there.
PS0YX|yeah and roll it round I.
PS03S|yeah now here's your there's your peg look your pointer now draw it in black you can see it better there's your pointer now draw it out here the bit you brought your your yellow bit is like that.
PS0YX|yes.
PS03S|and if you if I make in steel and then can drive in and fit your pin.
PS0YX|yes.
PS03S|you'd have this effect see there's your wall and the that then you pin up the middle like that.
PS0YX|ah yes.
PS03S|you see but now that if that were metal and this is your other metal.
PS0YX|yes.
PS03S|you know what you say that's split.
PS0YX|yes where it's got ta go on.
PS03S|yeah got ta go on like that in't it.
PS0YX|yes.
PS03S|now for my money now if that were loose I'd open these.
PS0YX|shall.
PS03S|no.
PS03S|strip straight them open so that they're like that a bit instead er.
PS0YX|ah yeah.
PS03S|straight like that.
PS0YX|yes.
PS03S|and then if you did that it would tighten on to your walls.
PS0YX|yes.
PS03S|and you could make adjust it and it'd stay there.
PS0YX|ah.
PS03S|but over the years it's got loose and you've probably fiddled and it did broken.
PS0YX|ah.
PS03S|I should have them all metal cos ours is all metal as you see.
PS0YX|mm.
PS03S|but I'll make you one in two in plastic if you like.
PS03T|yes you want one of them.
PS0YX|no no well.
PS03S|whatever.
PS03T|it'll be easier.
PS0YX|these are the best then.
PS03S|these get fairly hot.
PS0YX|yes.
PS03S|and er you see these get well they're not too hot there.
PS0YX|yeah.
PS03S|but there's your wall look er what we done with it there's your wall that goes should run er like that.
PS0YX|yes.
PS03S|then you can adjust it in or out.
PS0YX|ah I've got it.
PS03S|just to get it in the right.
PS0YX|yes.
PS03S|location.
PS0YX|yes.
PS03S|you see well to keep it tight.
PS0YX|yes.
PS03S|you open those prongs.
PS0YX|yeah.
PS03S|and of course it's probably been.
PS0YX|yes.
PS03S|over tightened or it's.
PS0YX|and that's all they were fasten on with that sort of stuff.
PS03S|that's it.
PS03T|mm.
PS03S|just slide off.
PS0YX|would you believe it it's.
PS03S|if if you like I make it all in metal.
PS0YX|oh yes which evers you wan na make.
PS03S|well I'll make er I'll make two in metal and two in plastic and then see how you go on.
PS03T|no make two in metal instead.
PS03S|oh that won't take me five minutes to do that it won't.
PS03T|oh I know your five minutes Arthur five hours.
PS0YX|it it it be a quick five minutes.
PS03T|usually always.
PS03S|how the birds going oh.
PS03T|I thought you were feeding'em when.
PS03S|oh I was looking you see.
PS03T|just before you went upstairs for a bath.
PS03S|yeah.
PS03T|you were cos I when Les came I thought you were still feeding them.
PS03S|apparently on these you know you twist them.
PS0YX|yes I yes I've never bothered with.
PS03S|you do know that not too much.
PS0YX|them I mean er.
PS03S|but if if you twist that that way.
PS0YX|yeah.
PS03S|and that the other way.
PS0YX|yeah.
PS03S|you get erm one going that way and one going the other.
PS0YX|yeah and also they go better as well don't they.
PS03S|well they're nicer you see.
PS0YX|they should go better really shouldn't it.
PS03S|mm.
PS0YX|if there.
PS03T|have you seen the records Les is oh he's going to feed the birds before seven.
PS0YX|I think you'll find there's quite a selection there and they're sort out what you want and that you know and er ooh there's lot of the old ones and every thing and.
PS03T|mm.
PS0YX|yeah.
PS03T|well he's busy taping nearly all our old records.
PS0YX|is he yeah.
PS03T|well they're easier to put in the tapes.
PS0YX|yeah.
PS03T|are.
PS0YX|that's right.
PS03T|you you haven't got a tape machine.
PS0YX|no no.
PS03T|no.
PS0YX|no.
PS03T|well we only bought ours last year.
PS0YX|yeah yeah.
PS03T|but as were getting older we find.
PS0YX|yes.
PS03T|put a tape in ea without any trouble I can't.
PS0YX|that's right no.
PS03T|I can't see to put the needle on properly on the record.
PS0YX|no no.
PS03T|Arthur says I scratch them any way.
PS0YX|oh.
PS03T|trying to put it on so.
PS0YX|ah yeah.
PS03T|so I never bothered with the records.
PS0YX|no.
PS03T|but with a tape.
PS0YX|yes.
PS03T|just slot them in.
PS0YX|yeah.
PS03T|and that's it.
PS0YX|no with the er.
PS03T|in fact if I'd known you hadn't got one the one we had before oh know it's not got a tape on though but you've got a record player haven't you yes.
PS0YX|yes yes.
PS03T|right I mean the record player that we've got and radio was quite good.
PS0YX|yes.
PS03T|but it hadn't got the tape.
PS0YX|no.
PS03T|thing.
PS0YX|no.
PS03T|and we gave it to the erm school at over Downing Drive.
PS0YX|oh yes.
PS03T|for when they were having their sale for their sports and swimming pool or something.
PS0YX|oh yeah yeah mm.
PS03T|I mean we had given to us our friends mad on radios.
PS0YX|yes yes.
PS03T|and er you know he always wanted the very latest and.
PS0YX|that's right yeah.
PS03T|when he got some money.
PS0YX|that's right.
PS03T|he he decided to have erm video and every thing and cassette.
PS0YX|yes.
PS03T|music centre.
PS0YX|yeah.
PS03T|so erm he said would you like it.
PS0YX|mm.
PS03T|instead of your old record player.
PS0YX|ah very good.
PS03T|so er we had it for about four years and then Arthur decide to have one of these last year.
PS0YX|yes yeah yeah.
PS03T|It's funny about Ellis having ya I think I think.
PS0YX|yes.
PS03T|the though wouldn't be the would they.
PS0YX|oh I don't know this this Eileen said something about they had one the year previous.
PS03T|yes but for what year.
PS0YX|but they didn't when they're having the next one.
PS03T|oh it was of your age though.
PS0YX|oh yes oh yes.
PS03T|oh oh.
PS0YX|same age as me.
PS03T|oh.
PS0YX|yes.
PS03T|because not many of the.
PS0YX|you know when your.
PS0YX|was you er was you in the hockey team or any thing.
PS03T|no played.
PS0YX|no.
PS03T|hockey but was never in a team no.
PS0YX|I us there were one or two er.
PS03T|you were in a football team.
PS0YX|yes and then there were the er.
PS0YX|what other name black Dora.
PS03T|oh yes oh I know Dora she used to be in our dancing troop.
PS0YX|get out.
PS03T|we had a little dancing troop.
PS0YX|I thought perhaps she might come from something like that.
PS03T|yes yes Dora.
PS0YX|she was captain of the hockey team.
PS03T|well that was before she well was she I didn't know that.
PS0YX|oh yes.
PS03T|cos she was a bit young she was more like my young sister age.
PS03S|does she dance.
PS0YX|she was for the top of the hockey team and I were for the football.
PS03T|I've got a picture of her somewhere.
PS03S|if you don't feel think there's a fly at the window.
PS0YX|yeah yes.
PS03T|will you pull the curtain.
PS0YX|well would you believe it.
PS03T|yeah.
PS0YX|but you've never seen her since.
PS03S|erm.
PS03T|no do you remember that photograph we've got of that dancing troop.
PS03S|what you.
PS03T|yes.
PS03S|yes.
PS03T|and Cath well apparently he knows one of the girls on.
PS03S|shall I get it down.
PS03T|do you know where it is.
PS03S|yeah.
PS03T|Dora.
PS0YX|Often wondered what's some what happened to some of the.
PS03T|in fact her brother er came to work at Oliver's er er.
PS0YX|did he.
PS03T|in the buying office er when I was there.
PS0YX|would you believe it.
PS03T|but he didn't stay long.
PS0YX|no.
PS03T|I don't know why.
PS0YX|yeah but they lived in Buller Road.
PS03T|Buller Road yes.
PS0YX|where did you live when you were.
PS03T|McDonald.
PS0YX|you were in McDonald.
PS03T|Dun Donald.
PS0YX|Dun Donald.
PS03T|yes.
PS0YX|why which one was that.
PS03T|next to it.
PS0YX|next to it.
PS03T|before before Buller.
PS0YX|get out.
PS03T|Robert's Road at the top.
PS0YX|that's right.
PS03T|and I was at the bottom.
PS0YX|ah well fancy you knowing her.
PS03T|yeah yes and er she but she was a bit younger than me she was more my young sister's age two years younger than me.
PS0YX|ah she would be because she was there.
PS03T|yeah.
PS0YX|she was still there she was still there when when I finished.
PS03T|mm.
PS0YX|I don't know whether she was just finishing then.
PS03T|so she'll be two or three years younger.
PS0YX|yes.
PS03T|because I think this little dancing troop we had out I was about the eldest.
PS0YX|I.
PS03T|there was my young sister we used to perform at.
PS03T|concerts.
PS0YX|and where were this at er.
PS03T|Carey Hall and er.
PS0YX|oh yeah I I went Carey Hall.
PS03T|and er Melbourne we used to go.
PS0YX|yes.
PS03T|that one at Melbourne Road.
PS0YX|yeah.
PS03T|oh that isn't eh that's Dora fancy you knowing her.
PS0YX|well would you believe it.
PS03T|that's Dora that's me.
PS0YX|yes.
PS03T|I forget what her name is.
PS0YX|yes.
PS03T|oh that's Do that's Betty that's her young sister.
PS0YX|get out.
PS03T|and that's my young sister Cath.
PS0YX|oh would you believe it.
PS03S|these are good ones Les ain't they.
PS0YX|yes.
PS03S|yes and that one.
PS0YX|yes yes.
PS03T|I'm trying to think of her name oh that was my young sister's.
PS03T|that was my young sister's mother Wendy.
PS0YX|was it.
PS03T|in the war nineteen forty.
PS0YX|oh.
PS03S|I didn't know it.
PS03T|no forty one.
PS0YX|yes.
PS03T|she's dead now though she's.
PS03S|didn't know you were a high brow.
PS0YX|is she yeah do what Arthur.
PS03S|didn't know you was a high brow.
PS0YX|why's that where's that.
PS03S|behind the straw at.
PS0YX|oh oh got him alright.
PS03T|that's not high brow.
PS03S|oh we've got all Bygraves.
PS0YX|oh he is there's all Max there yes and.
PS03T|have we got erm.
PS03T|nice band man there that's me that's me mam that's.
PS0YX|yeah.
PS03T|me dad and that they're both dead now.
PS0YX|yeah.
PS03T|and er they're all dead now.
PS0YX|is he really.
PS03T|that's that's Pam my erm me er niece.
PS0YX|mm.
PS03T|she was only about two and a half there.
PS0YX|well would you believe it very nice.
PS03T|I didn't know we'd still got this.
PS03S|don't you look skinny.
PS0YX|eh.
PS03S|don't she look skinny.
PS0YX|yeah.
PS03T|well when you were dancing you why I always were well when when your.
PS0YX|yeah well you've got ta be yeah well mm.
PS03T|and this Molly she always had to be different.
PS0YX|did she.
PS03T|Dora mother made all that these dresses.
PS0YX|did she.
PS03T|yes for about six pence a yard from the dee hive.
PS0YX|would you believe that.
PS03S|well would you believe it.
PS03T|well we haven't got much erm.
PS0YX|yeah.
PS03T|much money really shall I have me hair like that now short straight.
PS03S|page boy.
PS03T|no it's not page boy it's just short.
PS03S|it would of been in my day.
PS03T|er Cath's still got curly hair hasn't she there.
PS03S|yeah.
PS03T|that's Betty that's Dora that's Dolly Molly.
PS03S|I noticed I er did you notice it which is the proper way often or often they always say often today.
PS0YX|I it's often.
PS03S|well what's it got what's going on then why do they.
PS0YX|du n no.
PS03S|delete it.
PS0YX|yeah.
PS03S|mind you some of that er those pantomime found a box of the er he talks bad not bad English but not proper English and.
PS0YX|oh no no.
PS03S|and.
PS0YX|I think he's good.
PS03S|yeah.
PS03T|I say Cath reckons Andrew.
PS03S|yeah.
PS03T|Aud Audrey's boy is like me dad he is in't it when you look at him.
PS03S|well he could be it's in the in Australian in it yeah.
PS03T|yes no my my that her son is she my sis Cath reckons he's he's like me dad.
PS0YX|I.
PS03T|I think he is really.
PS03S|well we we went to a.
PS0YX|yeah.
PS03S|wedding down South and er took all the photographs.
PS03T|he's wedding Andrew's wedding.
PS03S|and er when we got them printed before we even sent them off there were one somebody I've been talking to the father in in the father of the bridge.
PS0YX|mm.
PS03S|now against an apple tree and I asking him I was it permissible to go scrumping and he had to converse with the maid I think.
PS0YX|yeah.
PS03S|and some lady.
PS0YX|yeah.
PS03S|and I they informed him want scrumping was.
