KBBPSUN|Not till nine thirty.
PS03S|I see No.
PS03T|That's all rubbish there.
PS03S|Yeah Didn't know had a glass house did you.
PS03T|It's not That's the garden in Summerleigh I keep telling you that.
PS03S|Oh it comes down to from there.
PS03T|Course it does Yes.
PS03S|Mm.
PS03T|It's on the border.
PS03S|Why did they put it right down the bottom Long.
PS03T|Well.
PS03S|way to go.
PS03T|Put it where it's convenient don't they I think you'd better go to bed.
PS03S|Did er Tom like the I've never seen a better one th have you.
PS03T|No it's a lovely frame.
PS03S|Usually only get like that but.
PS03T|Yes th th the narrow.
PS03S|That's to give it more sales value I suppose Do you think.
PS03T|Mm.
PS03S|Oh our damn stupid wheelie bin.
PS03S|there that.
PS03T|Mm.
PS03S|that daft wheelie bin Think he'd take it down the bottom wouldn't you.
PS03T|Well ours is still there from.
PS03S|It's er.
PS03T|yesterday.
PS03S|Yeah but that's only cos I ain't got the car out But I mean they got they got ta come out the front to put stuff in haven't they till that was clean int it.
PS03T|Mm It was clean the other day before they took.
PS03S|Yeah.
PS03T|it.
PS03S|That's Tom's drive int it There That bit.
PS03T|Mm mm mm mm.
PS03S|Goes up to his garage And then that's the bit of a well they can't build any more can they You said they were building another garage didn't you.
PS03T|No I didn't You said they were They were doing some a in the renovating something.
PS03S|Yeah.
PS03T|Perhaps a they're building that.
PS03S|Cos look Tom's garage nearly reaches the wall.
PS03T|I know He's just padded something down Perhaps something.
PS03S|Mm.
PS03T|went wrong.
PS03S|Yeah.
PS03T|And he had the workmen back Don't do that.
PS03S|Wheree'er you be let the wind go free.
PS03T|Do you want a er do you wa no I don't think you better have a Beechams now I think you better have one later.
PS03S|In you know that.
PS03T|To go to bed.
PS03S|You know that film er a boat er a boat we er.
PS03T|Mm.
PS03S|The African Queen.
PS03T|The African Queen.
PS03S|he had a rolling stomach.
PS03T|Mm.
PS03S|When he dranked anything.
PS03T|Well aren't you going to have a why don't have a egg sandwich.
PS03S|It's alright had enough to eat.
PS03T|You didn't have all that mince pie Christmas cake.
PS03S|I'll have a mince pie or Christmas cake.
PS03T|Well which do you want.
PS03S|Betwixt between them.
PS03T|Cup of coffee and I know a cup of coffee and a drop of Cointreau we haven't had any of that.
PS03S|Yes that will do fine.
PS03T|And a Christmas cake.
PS03S|Yeah.
PS03T|Okay.
PS03S|And two cherries on a stick.
PS03T|Ah well you'll be lucky.
