KBBPSUN|These.
PS03S|with it.
PS03T|I know but but you used to have mid-morning snack.
PS03S|Ah But I was nine years in er digs.
PS03T|Yes I'm not disagreeing.
PS03S|And you don't get they don't overfeed you in digs.
PS03T|Well that was when you were young.
PS03S|Cos the whole object of the exercise is to have a lodger is to pay yo your way.
PS03T|Ah I know Well you needn't go into all that.
PS03S|Well that's.
PS03T|I know but you.
PS03S|It's a known fact we'd still do.
PS03T|you don't you.
