KBBPSUN|Cos I washed them took the things out.
PS03T|when he was not still.
PS03S|do you reckon he enjoys his life.
PS03T|who your Bill.
PS03S|mm.
PS03T|well he probably has his er he's got a.
PS03S|married now.
PS03T|his music thing hasn't he he likes music he likes to be on his own ooh that nails sticking in if you trim your nails properly.
PS03S|you tell mother when I were fighting for me country he ain't got a bloody scratch on him now.
PS03T|do you hear me washer still going.
PS03S|yes its just changed over and its started off.
PS03T|oh I know when I've got a lots of if I do one lot tonight.
PS03S|you'll get it all done is it still raining.
PS03T|mm I shall er get the other lot in and do that do that first thing in the morning get every thing cleared up and then if you give me your pull overs I can hand wash those and put them in the spin drier so you'd better sort them out do you think you'd of put some tassels in that pelmet you know where the I've got some spare one's no don't you remember I went into and he gave me a piece of the trimming and I can take the tassels off.
PS03S|and stick.
PS03T|and push them through that loop it looks.
PS03S|oh bit.
PS03T|a bit hard.
PS03S|bit of Araldite just on the end of the thread is.
PS03T|no you don't I don't mean glue on.
PS03S|Araldite will stick any thing.
PS03T|did you hear Jackie had to send her new curtains back.
PS03S|mm Tracy said.
PS03T|and she had them from May Porteswell I bet I bet the plain poor people wanting them for Christmas wouldn't bother to send them well she kept them for over Christmas.
PS03S|Well it getting difference now here with most things I mean now er none of the shop keepers are sa like they were very helpful in our day weren't they.
PS03T|oh some of them are now.
PS03S|oh I expect there is but not in general.
PS03T|well I du n no they ought to be even more now that fighting er supposedly fighting for business.
PS03S|yes you're not gon na tell me er eighteen year old girl today compares with an eighteen year old girl in your mother's day.
PS03T|well they wouldn't be making curtains I don't think they could.
PS03S|no I mean er they went they did assist didn't ya in a shop.
PS03T|well some do today er especially if they're on commission perhaps they bother and try to sell you things you never really want.
PS03S|I know that Iron mongers at er near mo er Chequers Road you know where I used to go in and there were.
PS03S|down from the top of the steps to the path just what I wanted.
PS03T|well that's a that was a good little shop isn't it oh I've been there lately.
PS03S|it was its still er.
PS03T|yes you was.
PS03S|nobody went dear old Maisie went to all that trouble.
PS03T|she's a very old.
PS03S|yeah what they do now if its if its not within sight they say we haven't got any thing.
PS03T|no well they come all in packets now don't they you have to buy a packet.
PS03S|yeah I suppose.
PS03T|five when you want six so you have to buy two packets.
PS03S|mm.
PS03T|that's a gimmick isn't it.
PS03S|mm.
PS03T|five in a packet.
PS03S|yeah.
PS03T|of screws and and odd screws no good so mostly is it so you have to buy two packets.
PS03S|still its always handy to have one or two as spares.
PS03T|I don't know you've got a great big tin full of screws and nails and you you still have to go and buy some.
PS03S|well I found the I found those hook and eyes for your picture.
PS03T|yeah but you want one that's closed up don't ya for that picture.
PS03S|I mean what's in the pa picture itself.
PS03T|I know but but you want you want really want one with a closed hole you've got it.
PS03S|well they are in the picture but not on the wall.
PS03T|oh is that it.
PS03S|you take a lot of convincing.
PS03T|no but one side one sides not.
PS03S|sometimes.
PS03T|cos it was coming up when Tom fetched it down not closed up.
PS03S|oh this one was.
PS03T|should be yeah and that was the one.
PS03S|oh it only wants pinching.
PS03T|yes I know it wants pinching in the eye.
PS03S|well its its high any its.
PS03T|I know well.
PS03S|and and that that's not closed up whilst you wouldn't get it on.
PS03T|well that's I know you don't want that closed up well you do.
PS03S|well if if.
PS03T|wan na picture.
PS03S|if one's like it the other's like it as long as that's hanging there untouched there's quite quite safe I mean weren't worth it.
PS03T|perhaps if I were dusting it might.
PS03S|well don't you dust any way you shouldn't dust glass image that why should you.
PS03T|well you should wipe the outside of the frame didn't you.
PS03S|er yes like you like just flick round it.
PS03T|oh did you find that thing with the anchor on.
PS03S|no I looked for.
PS03T|you know that I'll tell you where it is.
PS03S|mm.
PS03T|you know that figurine in the bathroom.
PS03S|oh that one that were sit that.
PS03T|the bathing lady I reckon its on there.
PS03S|I I see.
PS03T|you have a look when you go up.
PS03S|I could of swore we'd had one somewhere.
PS03T|yes I could of had I'm I think its that bathing lady in the bathroom.
PS03S|mind you it might be a hard thing to give away or sold in it.
PS03T|no I don't think I've sold any of them erm any way its probably not genuine.
PS03S|no I suppose it could be painted on couldn't it they never bothered with these lady did they cos its modern in't it modern made.
PS03T|well its all repaired isn't it.
PS03S|oh they wouldn't know that.
PS03T|yes they do experts know whether its been repaired.
PS03S|he never picked it up to see just looked at it.
PS03T|well he knew we didn't mean to sell it better do some of the ship tomorrow where's the look you had one of the masts out where is it.
PS03S|there.
PS03T|oh I thought you used it to get.
PS03S|can't remember.
PS03T|lost it.
PS03S|can't you buy it.
PS03T|I remember you had them all in line.
PS03S|three three foot long pieces on the bench.
PS03T|no but you've got them all in island right high you don't.
PS03S|well you.
PS03T|have to do it you haven't.
PS03S|you want something quick for that didn't ya.
PS03T|mm I've forgotten.
PS03S|and me being a great innovator.
PS03T|oh mm.
PS03S|rob Peter to pay Paul as usual.
PS03T|yes that's all the time same as my cupboard door in the kitchen will it take you long to repair that.
PS03S|repair what.
PS03T|that cupboard door in the kitchen.
PS03S|no.
PS03T|that's in the shed.
PS03S|no.
PS03T|mm.
PS03S|no its all there very much seeing to it.
PS03T|I know it wants seeing to but how long is it going to take.
PS03S|I rather like it open actually.
PS03T|well I don't.
PS03S|huh huh huh.
PS03T|keeps the dust out.
PS03S|I feel tired I do tired that's not performing is it.
PS03T|yes.
PS03S|er that's a blow.
PS03T|why oh dear.
PS03S|you're leaving it like that then.
PS03T|yes leave it on for finish it off.
PS03S|mm.
PS03T|what time is it is it eight thirty five yet.
PS03S|twenty past.
PS03T|no.
PS03S|twenty past.
PS03T|I wonder if that washing's done let's have a look I have to go out in the shed and get the erm no its not er its not finished yet.
PS03S|that's not is it said that.
PS03T|no you looked at that.
PS03S|that's a six in it.
PS03T|you go and have a look at that one in the bathroom any way he looked at that mark so if it was any thing.
PS03S|yeah probably sell that as well.
PS03T|if it was any thing he'd er.
PS03S|he'd of said.
PS03T|and made an offer for it.
PS03S|any way I'd sooner see it wants to get.
PS03T|oh I wouldn't sell that.
PS03S|you wouldn't get one like that today.
PS03T|I wouldn't sell sell it.
PS03S|would ya where would you get it get one like that.
PS03T|you go and have a look at that one in the bathroom.
