KBBPSUN|What else did George say apart from the fact will he come and see the paintings do you think.
PS03S|Another pigeon come in.
PS03T|I told you there's three Oh We don't want a colony of those I shall have it.
PS03S|Have a drop of that.
PS03T|I'm going to have some more of that medicine Said three times a day Are you going to have a dose now.
PS03S|Mm When I haven't got my dinner down.
PS03T|Do you want any more.
PS03S|No Finish erm.
PS03T|I think I'll have an orange to finish off my.
PS03S|Mm What do you make of this play do you think.
PS03T|Well well it's an old thing i it's they've raked old.
PS03S|Oh well they always do rake.
PS03T|old things back.
PS03S|stir the mud up don't they.
PS03T|I've not read the paper anyway yet I think they want to sell the papers on Saturday I don't think people buy it so much on have you seen they're going to give you a weeks' television.
PS03S|Yeah Oh that's good.
PS03T|programmes look You've just turned it over I can you turned two pages over Look.
PS03S|What's the idea.
PS03T|So they sell more papers on Saturday I don't think they sell so many.
PS03S|Where.
PS03T|No the next page Mm mm I saw you as you turned some over.
PS03S|How have we done.
PS03T|No How would.
PS03T|you feel.
PS03S|Bloody rough.
PS03S|But they don't come back again Especially with this er aids thing.
PS03T|There Free seven day T V guide there are.
PS03S|Especially with this aid business Eh You don't know who else he's been with do you Normally you know where your husband's been but if the husband's away and you go in you don't know where he's been do you.
PS03T|Mm.
PS03S|If I were a girl I wouldn't let a man go near me.
PS03T|Mm Alright Maxwell's son loses a thousand a minute on roulette.
PS03S|I see Must have some money then.
PS03T|No you're hurting me Stop.
PS03S|Yeah.
PS03T|Do you want half this orange.
PS03S|Mm Cut me a slice.
PS03T|They're big ones.
PS03S|if you like.
PS03T|It it soothes your throat It's soothing my throat I don't mean no.
PS03S|That's alright in n it Well I always thought the paper was better because you have to sa so many things don't you Mind you they did have all the satellite and all that didn't we You seen all these page they done.
PS03T|It's not the paper it was.
PS03S|joints and muscle.
PS03T|And what does it say about your shoulder.
PS03S|Oh look.
PS03S|You could put it straight down.
PS03T|Well we've got the Radio Times in the other room.
PS03S|They made a bloody good start without putting in ink.
PS03T|I know that one about today's news We've got a Radio Times.
PS03S|Yeah you well you can see these all in one go Clint Eastwood nine forty.
PS03T|I'm not sitting up to that.
PS03S|Twenty to ten.
PS03T|I know but it'll be midnight before it finishes won't it.
PS03S|Are they all gone er are they all gone.
PS03T|No the big ones are still there Did you speak to Jackie did you say.
PS03S|No I I.
PS03T|Or oh.
PS03S|was in the dressing room and Arabian Nights twoo'clock Oh we've missed that.
PS03T|It's threeo'clock now I liked Kath's hall didn't you.
PS03S|You liked what.
PS03T|Kath's hall.
PS03S|Yo yeah but.
PS03T|Unusual wasn't it how he'd done it.
PS03S|It's the same place though int it when er.
PS03T|Well Is there anything any good on.
PS03S|Only the Arabian Nights at two and that's gone.
PS03T|Well I don't like those things.
PS03S|And then there's Cli Clint Eastwood at twenty to ten.
PS03T|Nothing in between.
PS03S|No.
PS03T|Well the garden certainly looks better for your little clear up.
PS03S|Well it looks.
PS03T|doesn't it.
PS03S|looks tidier doesn't it.
PS03T|Well I don't think you'd done it since Christmas had you.
PS03S|Since Christmas aye Dad's Army at eight.
PS03T|That's on the satellite.
PS03S|Comedy channel Mm.
PS03T|Wasn't very good last week really was it.
PS03S|No They're all grown now ain't they.
PS03T|Mm.
PS03T|The.
PS03S|Tom.
PS03T|doctor said he'd got a collar on his neck again didn't he.
PS03S|Mm.
PS03T|I meant to ask him and erm well I got er interrupted.
PS03S|It was in there when we went.
PS03T|Madge was cleaning the windows.
PS03S|Mm Er with a broken arm.
PS03T|She hadn't got a broken arm.
PS03S|Well she did have.
PS03T|That was years ago.
PS03S|I know But it was that the arm she were using.
PS03T|I expect so It was the right that she broke Lord I think that's that's a fire down there Fire smoke isn't it.
PS03S|Yeah perhaps burning er winter rubbish Card boxes and things But they make dustbins big enough now int it.
PS03T|Now yes I mean there's no no no smoke.
PS03S|Mm.
PS03T|on this end so it must be You haven't drunk your beer.
PS03S|It looks have you swi switched it is switched on what you doing.
PS03T|Oh it is oh.
PS03S|Press that black button.
