KBBPSUN|Eat your marmalade Ah yo you've got to wait for your cup of tea erm they've sort of gone a bit cold.
PS03T|Er he's a famous cellist.
PS03S|Oh Oh that one he.
PS03T|He had cello you know the.
PS03S|he used to be in the Masterclass teaching the.
PS03T|Well I think he did sometimes.
PS03S|students.
PS03T|Yes.
PS03S|Mm I'll have another cup then if it's spare.
PS03T|Mm right.
PS03S|You're not going out this morning are you.
PS03T|Well.
PS03S|Did you want the windows cleaning.
PS03T|As I say it looks a nice day if you were wrapped up you could later on go a little walk.
PS03S|Did you want the windows done Would they.
PS03T|No.
PS03S|might freeze.
PS03T|No you don't want to ooh I'm.
PS03S|Erm.
PS03T|not sure if I put sugar in See.
PS03S|it might freeze under there.
PS03T|See.
PS03S|Whoosh.
PS03T|Oh Do you know what's on the.
PS03S|Here there's two biggies now.
PS03T|Well there were three yesterday.
PS03S|I think the other one might be oh yeah it's the to the.
PS03T|Well Dirk Bogarde's on at nine.
PS03S|What's th what's th that.
PS03T|Well he just talks about his career.
PS03S|Oh bi it's not that er po Breaking the Code that's the one.
PS03T|No.
PS03S|I want to see.
PS03T|Oh that's the one you want to see Well what's that Cicero.
PS03S|No he he he he he has to break a code you know like.
PS03T|Oh.
PS03S|he broke the er.
PS03T|Mm.
PS03S|Japanese code it's he has.
PS03T|Mm mm.
PS03S|a office with a lot of girls.
PS03T|Hi his film is King and Country World War One.
PS03S|Oh.
PS03T|About a deserter at a court marshall I think we saw that the other week On Sky.
PS03S|Possibly Possibly.
PS03T|Anyway it's on till eleven forty a bit late.
PS03S|We've seen most of them.
PS03T|Well it's a bit late Oh Cilla's on Blind Date.
PS03S|I'm getting a little tired of that.
PS03T|Oh it's some bit of fun sometimes What's all this What's that Ooh that's a for the stylus int it.
PS03S|It's off the er yeah it's off the old music box we used to have.
PS03T|Where did you find that.
PS03S|Well it's off the old gramo we used to have.
PS03T|I know but I'm just wondering how it's got on there.
PS03S|Probably when we were emptying the bits and pieces Mm.
PS03T|Has the robin been this morning.
PS03S|Didn't see them Saw the two blackbirds and the thrush The thrush er lowered his wings in er you know you know.
PS03T|Temper.
PS03S|how they do when th they're trying to scare some of them off.
PS03T|Drink your tea then.
PS03S|Thrush they're not fighters but they're they're not cowards they'll you know have a go.
PS03T|Who the thrushes I've never seen them.
PS03S|They do he lowers his wings and crouches You know it's the er attacker.
PS03T|They've eat all that seed you you're going to run out before we get another.
PS03S|Well.
PS03T|lot.
PS03S|At least they'll die happy won't they.
PS03T|I don't know.
PS03S|Well they had er they had all that this morning they should go for a little while.
PS03T|What are you going to do about that conifer Are you going to take that er clothes line.
PS03S|Line down.
PS03T|and chop them down now.
PS03S|Ye oh yeah show me where you want the line will you.
PS03T|I shall probably want the line fitted like this on Monday.
PS03S|Well it held the conifer didn't it.
PS03T|Mm.
PS03S|Kept it from.
PS03T|Well I'll get another one when I'm in town.
PS03S|What another conifer.
PS03T|No Another line.
PS03S|Oh.
PS03T|So that if it goes again I can get a cheap one then you can use a cheap one to tie it to the fence.
PS03S|Yeah Expedite the tying up businesses.
PS03T|Yeah Well I mean it might blow when when I've got washing on the line or.
PS03S|That's unusual.
PS03T|or still be on it when I when.
PS03S|Un.
PS03T|I want it What.
PS03S|Unusual two pa pigeons.
PS03T|No there were three yesterday Those big ones.
PS03S|I mean close together.
PS03T|Why.
PS03S|Well don't they usually attack.
PS03T|I don't know.
PS03S|At least er imitation attack.
PS03T|Mm there's plenty of feathers about the garden.
PS03S|Yeah I reckon it probably keeps the cats in.
PS03T|What this weather Do you thi I don't think it does.
PS03S|Well they don't like stepping across icy grass I should have thought.
PS03T|Mm Do you want any more tea is that enough.
PS03S|I went and looked in the dustbin to see if he was back in there but.
PS03T|You can't lift it.
PS03S|Couldn't shift it no.
PS03T|Is the di is the light still on on.
PS03S|Mm.
PS03T|the outside.
PS03S|Oh yeah And your onions are there under the light.
PS03T|Ooh I don't want them there.
PS03S|Why.
PS03T|Well you want to keep them cool.
PS03S|Well do well they're on the floor.
PS03T|Oh Well put them in one of those cartons.
PS03S|What about the potatoes.
PS03T|Well there's not many left.
PS03S|Oh well they'll be alright.
PS03T|That's what I say we've go we've got to go first time out next week.
PS03S|Mm.
PS03T|ge go to the farm and get a bag.
PS03S|Well I'm not going out when the salts on.
PS03T|I know I know keep the car.
PS03S|Well it's not that I've got ta.
PS03T|for posterity.
PS03S|I've got ta wash it off haven't I.
