KBBPSUN|What what made Les er lend you the records to tape.
PS03S|Asking us to stop So that was it That ended the first on my piano I mean you can't practise piano if people next door complain can you Can you.
PS03T|Well.
PS03S|I mean er.
PS03T|Well most people did have pianos and er practised.
PS03S|Well you know when I used to come to you walk across cos of the trams Christmas day all down Argyle Street every a a ev they were bulging you know.
PS03T|Mm.
PS03S|But sometimes the door was open and they'd do it all out the front doors like this a and fresh fresh people trying to get in And th the pianos were going full blast.
PS03T|Well I told you Gordon brought his drums to our house.
PS03S|Well.
PS03T|one Christmas.
PS03S|well must have been different neighbours to my day.
PS03T|You know because we'd got a piano he'd got a drum set for Christmas He was about seventeen or eighteen then I thought you said.
PS03S|A.
PS03T|it was nearly finished.
PS03S|The tape's still running It's about finished now This is Sh shall I put another tape in for the rest of it.
PS03T|Yes that's what I said put a new tape in.
PS03S|You might have got it ready for me.
PS03T|I told you to get th ta one ready.
PS03S|Well still haven't got it These have been undone though haven't they.
PS03T|Well I don't know.
PS03S|Well there's no wrapping.
PS03T|Well they're about to five in a in a big wrapper that's why they're lose Side A.
PS03S|But I mean there's two at the back with individual wrappers.
PS03T|Mm I don't know.
PS03S|Look.
PS03T|Well i you're you're.
PS03T|the.
PS03S|How much of these two do I.
PS03T|expert on that.
PS03S|want to do There's nothing on the.
PS03T|No Well side.
PS03S|How much do you have.
PS03S|Do you wish you could go back to the good old days.
PS03T|No.
PS03S|You don't.
PS03T|No.
PS03S|Why The wa.
PS03T|Just making sure.
PS03S|The way you carried your shoes in a brown paper bag and when you were at ours When you.
PS03T|When you're dancing.
PS03S|when you were going out and the had stopped and all the girls had a you know the ordinary paper bag with a got their shoes in there.
PS03T|Oh I know I remember.
PS03S|They never change their shoes though now.
PS03T|No.
PS03S|do they.
PS03T|Anyway they all have taxis now.
PS03S|Yeah True.
PS03T|Oh we know this one don't we.
PS03S|Mm Oh I was always annoyed though Phil and George were magnificent dancers and the chap I used to walk out with sometimes he er he'd he he used say now that I look like this He used to dance like that.
PS03S|Behind his back like this He wasn't I wasn't in it you know something like that.
PS03T|Well you danced well when we went to.
PS03S|I could do park parade tha a girl was er er anywa I went in the factory and one of the girls says they were saying about a dance says ooh I quite a few you ought to see him dance the park parade Course I'd been to Cecille's half a crown for an hour.
PS03S|Every Saturday.
PS03T|I went there for lessons.
PS03S|Did you And er she walked on front of there were twenty of us in two rows.
PS03T|I know how I.
PS03S|she walked on front doing the steps.
PS03S|and she says I'm going to walk wi with my back so I'm going to listen says ooh There's one there he he missed the step And I said it was m I was called out you know a pa a partner like I said it was Lesley But he said no no no Oh And then.
PS03T|We know this one don't we.
PS03S|in Rushden I er see to all the girls dancing you know like a like you when you were young And I went would she take he says yes er half I say half a crown er a for half an hour every Friday But er I du n no er some other pe they I always felt such a fool you know And they were looking at me and I thought this int my cup of tea.
PS03T|Turn it down a bit.
PS03S|Well that's what they want to hear.
PS03T|I know this I know this one.
PS03S|The rain in spain felt mainly on the rain.
PS03T|That's not the right phrase.
PS03S|Mainly on the plane The plane Well that's er I keep getting that.
PS03T|Ooh I love Won't you just sit down.
PS03S|Well I keep getting up This is a bit boring you know sort of jumping.
PS03T|Well just sit down then Sit down It's a bit too loud That's better.
PS03S|Where did you start dancing.
PS03T|I told you I went to Cecille's Well we would have had at school.
PS03S|Did you go to any church dances We went to St.
PS03T|No.
PS03S|Pace I think it was and er i.
PS03T|What in Grandon Street.
PS03S|No That church near you er the Imperial up Spinney Park that way.
PS03T|Oh no I don't know any churches round here.
PS03S|Anyway er there was er the floor was six inch three inch floor boards and they'd been danced and da.
PS03T|They'd just put chalk down didn't they.
PS03S|and the nuts yeah.
PS03T|Yeah.
PS03S|they used to go out sprin and the nuts'd come above the wood.
PS03T|Yeah I do know yeah.
PS03S|You know And they used to sprinkle some fresh.
PS03T|Chalk.
PS03S|chalk all over.
PS03T|Mm I'm pleased we've got this record now.
PS03S|Yeah.
PS03T|Aren't you.
PS03S|Been trying everywhere to get one didn't we.
PS03T|Mm.
PS03S|Beats all the re rock and roll don't it really.
PS03T|Mm Although they've got some surprisingly.
PS03S|Yes.
PS03T|modern ones.
PS03S|Modern yeah.
PS03T|in theirs.
PS03S|Di was Madge a good dancer.
PS03T|No I don't think Madge and Tom would dance much.
PS03S|What about Kathleen.
PS03T|Mm I don't think they went all that much Well she was young in them day anyway an the war came along didn't it.
PS03S|Yes but.
PS03T|Where's your reading glasses You've not had them all day.
PS03S|No.
PS03T|Where are they.
PS03S|Down there.
PS03T|I know but I couldn't see them though.
PS03S|I can read without them I don't really need them.
PS03T|I know you can but you're squinting.
PS03S|Well only look here You say that look at that can you see anything in there between the two.
PS03T|Yes those lines.
PS03S|No You got ta see the two dish the space in between.
PS03T|Yes I can see them I can see it.
PS03S|Whe where.
PS03T|I can see it.
PS03S|But there's a all you can see is a little bright spot.
PS03T|Mm.
PS03S|well that ain't the space If you tilt it like can just see it in her mouth sixteenth between the two.
PS03T|Is it nearly finished.
PS03S|Yeah it means there's ha it's played half another half to go.
PS03T|Oh What else you going to have to eat tonight.
PS03S|Oh I don't want anything more.
PS03T|Coffee.
PS03S|I could do.
PS03T|Do you want some cake with it.
PS03S|No it's I've had enough cake.
PS03T|Or my flapjack.
PS03S|Oh.
PS03T|You don't you've not tasted one They're lovely.
PS03S|I'll have one tomorrow I I've look if you're full you're full You don't want an obese.
PS03T|good brown sugar and butter.
PS03S|you don't want an obese husband do you.
PS03T|I don't know I think you're getting a bit fat round the middle now.
PS03S|Well that's what I thought Trousers are.
PS03T|Well Tom is.
PS03S|my trousers are getting too tight.
PS03T|Ooh That reminds me when I go in town tomorrow I'm going to take one of yours.
PS03S|Mm.
PS03T|To get done Those navy ones they're the tightest aren't.
PS03S|Mm.
PS03T|they That navy pair And they were.
PS03S|Yeah.
PS03T|expensive they were Well if you're not going to have anything else to eat you better have some medicine.
PS03S|Yes Get rid of my cough cos it.
PS03T|Do you want do you want some more now.
PS03S|it's a dry cough int it.
PS03T|I'll get it.
PS03S|Do you want me to meet you tomorrow or anything What about.
PS03T|No.
PS03S|all the library books.
PS03T|No they're not due back yet.
PS03S|Did you want me to meet you or anything.
PS03T|No I shall be alright I've got the the shopping all that lot today Can you undo it My hand's still not not much use Look don't spill it.
PS03S|Will you ha will you have some.
PS03T|Not now I've just had some Cos I've still got a bit of a throat and it said for sore throats too if you want Mind You're spilling it.
PS03S|Well you so are you If you get it on there I should have had a.
PS03T|It soothes doesn't it.
PS03S|wash your hands.
PS03T|Don't you think so I know what to do.
PS03S|Bring me a hot towel and a.
PS03T|Ooh You'll be lucky.
PS03S|Don't go down the mine.
PS03T|No Look.
PS03S|daddy Don't go down tonight.
PS03T|Well this isn't it What is his name.
PS03T|Erm.
PS03S|Used to be a tearjerker Then it was the boy stood on the burning decks.
PS03T|Oh Shut up.
PS03S|That was another one.
PS03T|Now tomorrow all I've got to get is meat And you know for your dinner.
PS03S|Mm.
PS03T|will you have that shepherd's pie.
PS03S|Mm.
PS03T|I don't know what I want.
PS03S|It's got to be got rid of I suppose int it.
PS03T|Well er I made a big one.
PS03S|Unless we put it out for the cat.
PS03T|You cheeky thing For the birds more like.
PS03S|There were two cock blackbirds this morning.
PS03T|No will you have you're not very keen on fish So I'll get a bit of fish for myself.
PS03S|I think that's putting it mildly.
PS03T|What.
PS03S|You remember in France the er they made you where we kept walking round the table and er she sa anyway said er fish soup And you said yes And he turned to me I said not likely She says why I said cos it's smells the place.
PS03S|He he er he he got a bit humpy.
PS03T|I don't like the bouillabaisse.
PS03S|Well that's no.
PS03T|Although at that place it was alright but.
PS03S|Mm.
PS03T|it's not one of my favourite ones.
PS03S|What was your favourite.
PS03T|What is my favourite.
PS03S|Mm.
PS03T|I don't know.
PS03S|It still is then I suppose by that.
PS03T|Well it.
PS03S|What was means the past but is means the present.
PS03T|You can tell you made reminiscent with your slang.
PS03S|What and I were brought up in church How did they expect them to talk down there We used to say are you gorrit.
PS03T|Well you needn't put it on there.
PS03S|You don't you don't hear that now do you.
PS03T|Well don't put it on there You do in some parts of Leicester.
PS03S|Do you.
PS03T|Listen to me.
PS03S|Well it soon be spring now I suppose.
PS03T|Well we're getting to the.
PS03S|Operation dig up.
PS03T|It won't We've got all the bulbs to come up fo yet.
PS03S|Mm They're a bit hesitant at the moment.
PS03T|No they're not They're shooting through This side's not as good as the other one is it.
PS03S|No That's more gen gentle in n it.
PS03T|That's waltz I think that Welsh dresser looks better without that teapot on it now.
PS03S|Well i i li.
PS03T|It didn't really go with the rest of it did it.
PS03S|what you win at darts at the fair int it.
PS03T|No No But I mean it didn't really go with the rest of the things.
PS03S|Well no well he said that but.
PS03T|Yes Only worth ten pounds then.
PS03S|Yeah Somebody else'll have it ti ten years time.
PS03T|Bottle of whisky.
PS03S|What does Bill do now these days do you reckon then.
PS03T|We don't know a Bill.
PS03S|Has he found any no yours er Martin's then.
PS03T|Martin's boy I don't know.
PS03S|He didn't seem to.
PS03T|Well he's got his allotment and he helps Tina doesn't he.
PS03S|That's not much of an allotment now is it though.
PS03T|No but he.
PS03S|I think the garden is old.
PS03T|Yeah Although somebody said they thought he might er give it up this year.
PS03S|Mm I wonder what George's garden like.
PS03T|Who George.
PS03S|Mm.
PS03T|Ooh Don't you remember once we went round he'd got a lovely garden And then went and it was all overgrown.
PS03S|Yeah.
PS03T|And then the next time a few years later he'd got it back.
PS03S|Mm.
PS03T|he'd got it nice.
PS03S|Oh yeah Didn't he have a railway running a model.
PS03T|Around.
PS03S|railway.
PS03T|Yes.
PS03S|A ste little steam loco.
PS03T|But I expect erm as he was in all last year I should think he.
PS03S|He didn't bother.
PS03T|let it go I mean Catherine said.
PS03S|Mm.
PS03T|was suffering from that operations so.
PS03S|Yeah and I bi you know that big loft I helped get the get the la big lathe he bought from the.
PS03T|Mm.
PS03S|firm Well he'd got a the little marker th well about two and a half feet marker I says er don't you use that now He said no I said you ever thought of selling it He says well no not really He says I'll er do it up I think an what he did he painted it you see Well we went over two or three weeks later and happened to mention it he wanted two hundred pound for it.
PS03T|Well you could had it.
PS03S|Well no it's he didn't give two hundred pound for it and he'd had it eight or ten years Anyway I've no use to.
PS03T|Well I think he's getting back into circulation now Wi with ringing me.
PS03S|Yes.
PS03T|er up today And he was going to this er.
PS03S|Mm.
PS03T|apparently a friendship meeting or something for elderly people in the village And he was giving a lady across the road a lift there So cos apparently while he was on the phone she came knocking at the door then.
PS03S|Mm.
PS03T|and he said well wait a minute while I answer the door And er he apparently told her to sit in the car while he finished his.
PS03S|Mm.
PS03T|conversation with me on the phone.
PS03S|Did he.
PS03T|You were in the garden so I couldn't.
PS03S|Yeah.
PS03T|fetch you.
PS03S|Will he marry again.
PS03T|No No.
PS03S|Old Kath said he did didn't she.
PS03T|No It was about fours years.
PS03S|And I and Ma and I was saying about Ma you know Ma happened to say Madge you know and er er you know we said that th that I weren't going out And he says oh well er something now I forget what was it Oh he said she she.
PS03T|Well Kath was a very.
PS03S|I should think she's being very ge ge er er er given her a lot yo yo you know Wha what he's done and what you know And I nearly said but I didn't I I I could have said well look what she got er out of her her husband You know those.
PS03T|Mm.
PS03S|You know she never mentioned that yet she mentioned what Vince were doing now I mean fair's fair int it Still.
PS03T|Yes but Kath is a sort of er very.
PS03S|Up and down with.
PS03T|No loving person isn't.
PS03S|Yeah.
PS03T|she I mean a very fussy person she likes somebody to fuss over And er he seems.
PS03S|Never fussed over me when I've been in her vicinity.
PS03T|Yeah cos you're you're my husband you're not her.
