KCAPSUN|I saw this right on a.
PS0DL|It's only part of the Lego this Sean and make a look holding the stick.
PS0DM|I haven't stuck that as well have I Sean.
PS0DT|Well I know how to put it on anyway It tips so you can put these on.
PS0DM|Well I didn't stick it all because.
PS0DU|My my book's come off.
PS0DM|so that you could play with it isn't it.
PS0DU|It looks good.
PS0DM|So stick these back on.
PS0DT|Mm Oops.
PS0DU|Come stick with me.
PS0DT|Alright.
PS0DM|That's this one.
PS0DL|Is there two books in her hand.
PS0DM|Lovely lovely tractor.
PS0DL|Is there two books in her hand.
PS0DM|So Sean's got the.
PS0DL|And I put them in back of her hood cos she couldn't hold my hand So he put them.
PS0DM|Yes.
PS0DL|in her hood and Sean watched her bringing.
PS0DM|Well you just pay for that.
PS0DT|And they never fell out.
PS0DM|You had to read it use Sean's library book.
PS0DT|Yeah they used to mine.
PS0DM|The Cooper Family Lived On It's Own.
PS0DT|We've got two of those.
PS0DM|Have you They were disturbing at the top And there was Nebbins Nebbins was Mr Cooper's only horse Nebbins was Mr Cooper's only horse who worked very hard pulled the plough and the hay cart and his all the other jobs that a horse had to do on a farm Nebbins was happy He had lived with the Coopers nearly all his life and all Coopers like him especially Tom There's Tom look Kirsty.
PS0DM|See Tom with the apple there Tommy came to the barn every day after Nebbins work was finished and always brought him an apple or a lump of sugar Great brother Jim gave him fresh water and plenty of oats One day a terrible thing happened And Mr Cooper and Nebbins were returning from the field.
PS0DU|Like that Now they've picking hands look.
PS0DM|Mm.
PS0DT|You can put them on the and now it stings my hand cos I cos.
PS0DM|Never mind Never mind.
PS0DT|I caught I caught took my hand to those cats.
PS0DM|Dad bought your bike down here.
PS0DT|I didn't even feel like.
PS0DM|Only that you've not been on his bike or yesterday I thought perhaps you'd bring your bike down.
PS0DU|I got a little purse.
PS0DM|I know That's lovely that.
PS0DL|I only just taken his bike for him cos it went a bit rusty cos out the back and er couldn't find then could we I only once then we lost it again lost the somewhere it's up the hill somewhere but I don't know where.
PS0DM|Well I bought you a couple isn't it.
PS0DL|Yeah I it's up the hill somewhere but I can't find it.
PS0DM|Oh dad The tractor is here come and see Of course Nebbins had never seen a tractor before he wondered what it was When they reached the farmyard there it stood a great shiny red thing with big wheels at the back and little wheels in front And what a fuss everyone was making about it Tommy was climbing all over it And Jim was giving it a drink of water Why he was the one who had always bought Nebbins a drink when he came home Today no one paid any attention to Nebbins not even Tommy Old Nebbins felt hurt and slowly set off towards.
PS0DT|What well is Nebbins the tractor.
PS0DM|No The horse.
PS0DT|Ah.
PS0DM|That Nebbins heard Mr Cooper and the tractor returning from the field Jim and Tommy were with him Mr Cooper drove it straight into the barn and stopped next to Nebbins.
PS0DT|I can't fit the gear in now.
PS0DM|I told you it was hard didn't I.
PS0DT|Mm.
PS0DM|Have to take it out.
PS0DL|You shouldn't of take him off see Sean.
PS0DM|How dreadful thought Nebbins.
PS0DL|Let's see if I can do it for you.
PS0DM|Mr Cooper and the boys rushed over.
PS0DT|No you've glued it all up Now.
PS0DM|No I haven't glued this er gear bits on there Oh that yeah Cos it fell off all the time.
PS0DT|Cos it if erm if that.
PS0DM|If you could pull that off you can put it on.
PS0DT|Oh I'll keep them on.
PS0DL|Will you see if I can put it on too Sean.
PS0DT|No I don't want them to be there.
PS0DM|How dreadful Nebbins kicking his knees out Mr Cooper and boys rushed over to calm him At last they were closing the barn door hearing Mr Cooper say Jim I could.
